number,kannada,english
416,ನಕ್ಷತ್ರ,star
232,ಆರಂಭ,start
220,ರಾಜ್ಯ,state
867,ಕೇಂದ್ರ,station
355,ಉಳಿಯಲು,stay
376,ಮುಂದಿನ,stead
891,ಉಗಿ,steam
920,ಉಕ್ಕಿನ,steel
460,ಹಂತ,step
693,ಸ್ಟಿಕ್,stick
212,ಇನ್ನೂ,still
681,ಕಲ್ಲು,stone
427,ನಿಂತು,stood
262,ನಿಲ್ಲಿಸಲು,stop
556,ಅಂಗಡಿ,store
234,ಕಥೆ,story
666,ನೇರ,straight
598,ವಿಚಿತ್ರ,strange
822,ಸ್ಟ್ರೀಮ್,stream
350,ರಸ್ತೆ,street
982,ಏರಿಕೆಯ,stretch
814,ಸ್ಟ್ರಿಂಗ್,string
442,ಪ್ರಬಲ,strong
772,ವಿದ್ಯಾರ್ಥಿ,student
211,ಅಧ್ಯಯನ,study
519,ವಿಷಯದ,subject
857,ವಸ್ತುವಿನ,substance
957,ಕಳೆಯಿರಿ,subtract
955,ಯಶಸ್ಸು,success
75,ಇಂತಹ,such
512,ಹಠಾತ್,sudden
914,ಪ್ರತ್ಯಯ,suffix
902,ಸಕ್ಕರೆ,sugar
618,ಸಲಹೆ,suggest
846,ಸೂಟ್,suit
557,ಬೇಸಿಗೆ,summer
217,ಸೂರ್ಯ,sun
775,ಪೂರೈಕೆ,supply
887,ಬೆಂಬಲ,support
268,ಖಚಿತವಾಗಿ,sure
362,ಮೇಲ್ಮೈ,surface
679,ಅನಿರೀಕ್ಷಿತ,surprise
961,ಈಜು,swim
533,ಉಚ್ಚಾರಗಳು,syllable
608,ಚಿಹ್ನೆ,symbol
367,ವ್ಯವಸ್ಥೆಯ,system
472,ಟೇಬಲ್,table
447,ಬಾಲ,tail
105,ತೆಗೆದುಕೊಳ್ಳಲು,take
313,ಚರ್ಚೆ,talk
736,ಎತ್ತರದ,tall
430,ಕಲಿಸಲು,teach
632,ತಂಡ,team
898,ಹಲ್ಲುಗಳು,teeth
50,ಹೇಳಲು,tell
740,ತಾಪಮಾನ,temperature
476,ಹತ್ತು,ten
962,ಪದ,term
369,ಟೆಸ್ಟ್,test
191,ಕ್ಕಿಂತ,than
911,ಧನ್ಯವಾದ,thank
4,ಆ,that
29,ದಿ,the
42,ತಮ್ಮ,their
161,ಅವುಗಳನ್ನು,them
160,ನಂತರ,then
152,ಇಲ್ಲ,there
166,ಈ,these
11,ಅವರು,they
757,ದಪ್ಪ,thick
825,ತೆಳುವಾದ,thin
170,ವಿಷಯ,thing
133,ನಗರದ,think
714,ಮೂರನೇ,third
16,ಈ,this
289,ಆ,those
311,ಆದರೂ,though
226,ಭಾವಿಸಲಾಗಿದೆ,thought
380,ಸಾವಿರ,thousand
53,ಮೂರು,three
128,ಮೂಲಕ,through
983,ಎಸೆಯಲು,throw
797,ಹೀಗೆ,thus
833,ಟೈ,tie
43,ಸಮಯ,time
682,ಸಣ್ಣ,tiny
392,ಟೈರ್,tire
31,ಗೆ,to
276,ಒಟ್ಟಿಗೆ,together
343,ಹೇಳಿದರು,told
616,ಟೋನ್,tone
148,ತುಂಬಾ,too
253,ತೆಗೆದುಕೊಂಡಿತು,took
942,ಸಾಧನ,tool
347,ಟಾಪ್,top
943,ಒಟ್ಟು,total
628,ಟಚ್,touch
480,ಕಡೆಗೆ,toward
403,ಪಟ್ಟಣದ,town
852,ಟ್ರ್ಯಾಕ್,track
600,ವ್ಯಾಪಾರ,trade
558,ರೈಲು,train
473,ಪ್ರವಾಸ,travel
228,ಮರ,tree
826,ತ್ರಿಕೋನ,triangle
602,ಪ್ರವಾಸ,trip
611,ತೊಂದರೆ,trouble
976,ಟ್ರಕ್,truck
455,ನಿಜ,true
89,ಪ್ರಯತ್ನಿಸಿ,try
819,ಟ್ಯೂಬ್,tube
139,ತಿರುವು,turn
695,ಇಪ್ಪತ್ತು,twenty
173,ಎರಡು,two
729,ಮಾದರಿ,type
125,ಅಡಿಯಲ್ಲಿ,under
401,ಘಟಕ,unit
294,ರವರೆಗೆ,until
154,ಅಪ್,up
90,ನಮಗೆ,us
155,ಬಳಕೆ,use
304,ಸಾಮಾನ್ಯ,usual
946,ಕಣಿವೆಯ,valley
743,ಮೌಲ್ಯ,value
522,ಬದಲಾಗುತ್ತವೆ,vary
468,ಕ್ರಿಯಾಪದ,verb
127,ಅತ್ಯಂತ,very
749,ವೀಕ್ಷಿಸಿ,view
703,ಹಳ್ಳಿಯ,village
583,ಭೇಟಿ,visit
500,ಧ್ವನಿ,voice
479,ಸ್ವರ,vowel
413,ನಿರೀಕ್ಷಿಸಿ,wait
282,ನಡೆಯಲು,walk
564,ಗೋಡೆಯ,wall
54,ಬಯಸುವ,want
481,ಯುದ್ಧ,war
439,ಬೆಚ್ಚಗಿನ,warm
6,ಆಗಿತ್ತು,was
807,ಮುಖ,wash
269,ವೀಕ್ಷಿಸಲು,watch
190,ನೀರಿನ,water
538,ತರಂಗ,wave
157,ರೀತಿಯಲ್ಲಿ,way
35,ನಾವು,we
637,ಭಾಷೆಗಳು,wear
589,ಹವಾಮಾನ,weather
431,ವಾರ,week
525,ತೂಕದ,weight
56,ಹಾಗೂ,well
82,ಹೋದರು,went
39,ಎಂದು,were
463,ಪಶ್ಚಿಮ,west
22,ಏನು,what
356,ಚಕ್ರ,wheel
153,ಯಾವಾಗ,when
110,ಎಲ್ಲಿ,where
710,ಎಂಬುದನ್ನು,whether
40,ಇದು,which
243,ಹಾಗೆಯೇ,while
278,ಬಿಳಿ,white
194,ಯಾರು,who
348,ಇಡೀ,whole
776,ಅವರ,whose
78,ಏಕೆ,why
548,ವ್ಯಾಪಕ,wide
964,ಪತ್ನಿ,wife
574,ಕಾಡು,wild
45,ತಿನ್ನುವೆ,will
937,ಗೆಲುವು,win
330,ಗಾಳಿ,wind
555,ವಿಂಡೋ,window
804,ರೆಕ್ಕೆ,wing
571,ಚಳಿಗಾಲದ,winter
633,ತಂತಿ,wire
567,ಬಯಸುವ,wish
10,ಜೊತೆ,with
799,ಮಹಿಳೆ,woman
906,ಮಹಿಳೆಯರು,women
378,ಆಶ್ಚರ್ಯ,wonder
752,ತಿನ್ನುವೆ,won’t
272,ಮರದ,wood
20,ಪದ,word
103,ಕೆಲಸ,work
95,ವಿಶ್ವದ,world
163,ಎಂದು,would
162,ಬರೆಯಲು,write
573,ಬರೆದ,written
989,ತಪ್ಪು,wrong
614,ಬರೆದ,wrote
622,ಹೊಲದಲ್ಲಿ,yard
117,ವರ್ಷ,year
839,ಹಳದಿ,yellow
394,ಹೌದು,yes
537,ಇನ್ನೂ,yet
26,ನೀವು,you
305,ಯುವ,young
156,ನಿಮ್ಮ,your
