number,punjabi,english
981,ਦੁਕਾਨ,shop
854,ਕੰਢੇ,shore
327,ਛੋਟਾ,short
205,ਕਰਨਾ ਚਾਹੀਦਾ ਹੈ,should
966,ਮੋਢੇ,shoulder
612,ਦੇਵੇਤੇ,shout
119,ਪ੍ਰਦਰਸ਼ਨ,show
197,ਪਾਸੇ,side
284,ਨਜ਼ਰ,sight
582,ਨਿਸ਼ਾਨ ਨੂੰ,sign
735,ਚੁੱਪ,silent
910,ਸਿਲਵਰ,silver
923,ਇਸੇ,similar
477,ਸਧਾਰਨ,simple
346,ਦੇ ਬਾਅਦ,since
469,ਦਾ ਗਾਇਨ,sing
692,ਇੱਕਲੇ,single
919,ਭੈਣ ਨੂੰ,sister
553,ਬੈਠ,sit
471,ਛੇ,six
521,ਦਾ ਆਕਾਰ,size
905,ਹੁਨਰ,skill
696,ਚਮੜੀ ਨੂੰ,skin
568,ਅਸਮਾਨ,sky
875,ਨੌਕਰ ਨੂੰ,slave
559,ਨ ਦ,sleep
936,ਸਿਲੱਪ,slip
485,ਹੌਲੀ,slow
59,ਛੋਟੇ ਛੋਟੇ,small
945,ਗੰਧ,smell
697,ਮੁਸਕਾਨ,smile
391,ਬਰਫ ਦੀ,snow
165,ਇਸ ਲਈ,so
585,ਸਾਫਟ,soft
738,ਮਿੱਟੀ,soil
758,ਸਿਪਾਹੀ,soldier
908,ਹੱਲ ਹੈ,solution
708,ਨੂੰ ਹੱਲ,solve
23,ਨੂੰ ਕੁਝ,some
658,ਪੁੱਤਰ ਨੂੰ,son
322,ਗੀਤ,song
315,ਜਲਦੀ ਹੀ,soon
183,ਆਵਾਜ਼,sound
340,ਦੱਖਣ,south
450,ਸਪੇਸ,space
524,ਗੱਲ ਕਰੋ,speak
443,ਵਿਸ਼ੇਸ਼,special
888,ਬੋਲਣ ਦੀ,speech
671,ਦੀ ਗਤੀ,speed
67,ਜੋੜ,spell
861,ਖਰਚ,spend
785,ਗੱਲ,spoke
844,ਸਪਾਟ,spot
967,ਫੈਲਣ,spread
663,ਬਸੰਤ,spring
514,ਵਰਗ,square
202,ਖੜ੍ਹੇ,stand
416,ਸਿਤਾਰਾ,star
232,ਸ਼ੁਰੂ ਕਰਨ,start
220,ਰਾਜ ਦੇ,state
867,ਸਟੇਸ਼ਨ,station
355,ਰਹਿਣ,stay
376,ਬੈਠ,stead
891,ਭਾਫ਼,steam
920,ਸਟੀਲ,steel
460,ਕਦਮ ਹੈ,step
693,ਸਟਿੱਕ,stick
212,ਅਜੇ ਵੀ,still
681,ਪੱਥਰ ਨੂੰ,stone
427,ਖੜ੍ਹੇ ਸਨ,stood
262,ਰੂਕੋ,stop
556,ਸਟੋਰ,store
234,ਕਹਾਣੀ,story
666,ਸਿੱਧਾ,straight
598,ਅਜੀਬ,strange
822,ਸਟਰੀਮ,stream
350,ਗਲੀ ’,street
982,ਤਣਾਅ ਨੂੰ,stretch
814,ਸਤਰ,string
442,ਮਜ਼ਬੂਤ,strong
772,ਵਿਦਿਆਰਥੀ ਦੀ,student
211,ਦਾ ਅਧਿਐਨ,study
519,ਵਿਸ਼ੇ,subject
857,ਪਦਾਰਥ,substance
957,ਘਟਾਓ,subtract
955,ਦੀ ਸਫਲਤਾ,success
75,ਅਜਿਹੇ,such
512,ਅਚਾਨਕ,sudden
914,ਪਿਛੇਤਰ,suffix
902,ਖੰਡ,sugar
618,ਸੁਝਾਅ,suggest
846,ਮੁਕੱਦਮੇ,suit
557,ਗਰਮੀ ਦੇ,summer
217,ਸੂਰਜ ਦੀ,sun
775,ਦੀ ਸਪਲਾਈ,supply
887,ਸਹਿਯੋਗ ਨੂੰ,support
268,ਇਹ ਯਕੀਨੀ,sure
362,ਸਤਹ,surface
679,ਹੈਰਾਨੀ,surprise
961,ਤੈਰਾਕੀ,swim
533,ਿਸਹਾਰੀ,syllable
608,ਪ੍ਰਤੀਕ,symbol
367,ਸਿਸਟਮ ਨੂੰ,system
472,ਸਾਰਣੀ ਵਿੱਚ,table
447,ਪੂਛ,tail
105,ਲੈ,take
313,ਦੇ ਭਾਸ਼ਣ,talk
736,ਲੰਬਾ,tall
430,ਨੂੰ ਸਿੱਖਿਆ,teach
632,ਦੀ ਟੀਮ,team
898,ਦੰਦ,teeth
50,ਨੂੰ ਦੱਸ,tell
740,ਤਾਪਮਾਨ ਦਾ,temperature
476,ਦਸ,ten
962,ਦੀ ਮਿਆਦ,term
369,ਦਾ ਟੈਸਟ,test
191,ਵੱਧ,than
911,ਧੰਨਵਾਦ,thank
4,", ਜੋ ਕਿ",that
29,the,the
42,ਆਪਣੇ,their
161,ਨੂੰ,them
160,ਫਿਰ,then
152,ਉੱਥੇ,there
166,ਇਹ,these
11,ਉਹ,they
757,ਮੋਟੀ,thick
825,ਪਤਲੇ,thin
170,ਗੱਲ ਇਹ ਹੈ ਕਿ,thing
133,ਸੋਚਦੇ,think
714,"ਤੀਜਾ,",third
16,ਇਸ ਨੂੰ,this
289,ਜਿਹੜੇ,those
311,ਪਰ,though
226,ਸੋਚਿਆ,thought
380,ਹਜ਼ਾਰ,thousand
53,ਤਿੰਨ,three
128,ਦੁਆਰਾ,through
983,ਸੁੱਟ,throw
797,ਇਸ ਪ੍ਰਕਾਰ,thus
833,ਟਾਈ,tie
43,ਵਾਰ,time
682,ਛੋਟੇ,tiny
392,ਟਾਇਰ,tire
31,ਨੂੰ,to
276,ਇਕੱਠੇ ਹੋ ਕੇ,together
343,ਨੂੰ ਦੱਸਿਆ ਕਿ,told
616,ਟੋਨ,tone
148,ਨੂੰ ਵੀ,too
253,ਲੈ ਲਿਆ,took
942,ਸੰਦ ਹੈ,tool
347,ਚੋਟੀ ਦੇ,top
943,ਕੁੱਲ,total
628,ਨੂੰ ਛੂਹ,touch
480,ਵੱਲ,toward
403,ਕਸਬੇ,town
852,ਟਰੈਕ,track
600,ਵਪਾਰ,trade
558,ਰੇਲ ਗੱਡੀ,train
473,ਯਾਤਰਾ,travel
228,ਰੁੱਖ ਨੂੰ,tree
826,ਤਿਕੋਣ,triangle
602,ਦਾ ਦੌਰਾ,trip
611,ਸਮੱਸਿਆ ਹੈ,trouble
976,ਟਰੱਕ,truck
455,"ਸੱਚ ਹੈ,",true
89,ਕੋਸ਼ਿਸ਼ ਕਰੋ,try
819,ਟਿਊਬ,tube
139,ਵਾਰੀ,turn
695,ਵੀਹ,twenty
173,ਦੇ ਦੋ,two
729,ਦੀ ਕਿਸਮ,type
125,ਹੇਠ,under
401,ਯੂਨਿਟ ਨੂੰ,unit
294,ਜਦ ਤੱਕ,until
154,ਅਪ,up
90,ਸਾਡੇ ਨਾਲ,us
155,ਵਰਤਣ,use
304,ਆਮ,usual
946,ਘਾਟੀ,valley
743,ਮੁੱਲ ਨੂੰ,value
522,ਵੱਖ ਵੱਖ,vary
468,ਕ੍ਰਿਆ,verb
127,ਬਹੁਤ ਹੀ,very
749,ਝਲਕ,view
703,ਪਿੰਡ ਦੇ,village
583,ਦੌਰੇ ਨੂੰ,visit
500,ਦੀ ਆਵਾਜ਼,voice
479,ਸ੍ਵਰ,vowel
413,ਉਡੀਕ ਕਰੋ,wait
282,ਤੁਰ,walk
564,ਕੰਧ,wall
54,ਚਾਹੁੰਦੇ,want
481,ਜੰਗ ਦੇ,war
439,ਨਿੱਘਾ,warm
6,"ਸੀ,",was
807,ਧੋਣ,wash
269,ਜਾਗ,watch
190,ਪਾਣੀ ਦੀ,water
538,ਲਹਿਰ,wave
157,ਤਰੀਕਾ ਹੈ,way
35,ਸਾਨੂੰ,we
637,ਪਹਿਨਣ,wear
589,ਮੌਸਮ ’,weather
431,ਹਫ਼ਤੇ ਦੇ,week
525,ਦਾ ਭਾਰ,weight
56,ਨਾਲ ਨਾਲ,well
82,ਚਲਾ ਗਿਆ,went
39,ਸਨ,were
463,ਪੱਛਮ,west
22,ਕੀ ਹੈ,what
356,ਚੱਕਰ,wheel
153,ਜਦ,when
110,ਜਿੱਥੇ ਕਿ,where
710,ਕੀ,whether
40,", ਜੋ ਕਿ",which
243,ਜਦਕਿ,while
278,"ਚਿੱਟੇ,",white
194,ਜੋ,who
348,ਸਾਰੀ,whole
776,ਜਿਸ ਦੇ,whose
78,ਇਸੇ,why
548,ਚੌੜਾ,wide
964,ਪਤਨੀ ਨੂੰ,wife
574,ਜੰਗਲੀ,wild
45,ਕਰੇਗਾ,will
937,ਜਿੱਤ,win
330,ਹਵਾ,wind
555,ਵਿੰਡੋ ਨੂੰ,window
804,ਵਿੰਗ,wing
571,ਸਰਦੀ,winter
633,ਤਾਰ,wire
567,"ਚਾਹੁੰਦੇ ਹੋ,",wish
10,ਦੇ ਨਾਲ,with
799,ਔਰਤ ਨੂੰ,woman
906,ਮਹਿਲਾ,women
378,ਹੈਰਾਨ,wonder
752,ਨਾ ਕਰੇਗਾ,won’t
272,ਲੱਕੜ ਦੇ,wood
20,ਸ਼ਬਦ ਨੂੰ,word
103,ਕੰਮ ਦਾ,work
95,ਸੰਸਾਰ ਨੂੰ,world
163,ਸੀ,would
162,ਲਿਖਣ ਦੀ,write
573,ਲਿਖਿਆ,written
989,ਗਲਤ ਹੈ,wrong
614,ਨੇ ਲਿਖਿਆ,wrote
622,ਯਾਰਡ,yard
117,ਸਾਲ ਦੇ,year
839,ਪੀਲੇ,yellow
394,ਜੀ,yes
537,ਹਾਲੇ ਤੱਕ,yet
26,ਤੁਹਾਨੂੰ,you
305,ਨੌਜਵਾਨ,young
156,ਤੁਹਾਡੇ,your
