number,lao,english
825,ບາງ,thin
170,ການທົດສອບ,thing
133,ຄິດວ່າ,think
714,ທີສາມ,third
16,ນີ້,this
289,ຜູ້,those
311,ເຖິງແມ່ນວ່າ,though
226,ຄິດວ່າ,thought
380,ພັນ,thousand
53,ສາມ,three
128,ໂດຍຜ່ານການ,through
983,ຖິ້ມ,throw
797,ດັ່ງນັ້ນການ,thus
833,ວັດ,tie
43,ທີ່ໃຊ້ເວລາ,time
682,ຂະຫນາດນ້ອຍ,tiny
392,ເມື່ອຍ,tire
31,ການທີ່ຈະ,to
276,ຮ່ວມກັນ,together
343,ບອກ,told
616,ໂຕນ,tone
148,ເກີນໄປ,too
253,ໄດ້,took
942,ເຄື່ອງມື,tool
347,ທາງເທີງ,top
943,ຈໍານວນທັງຫມົດ,total
628,ແຕະ,touch
480,ໄປສູ່ການຕອບ,toward
403,ຕົວເມືອງ,town
852,ການຕິດຕາມ,track
600,ການຄ້າ,trade
558,ການຝຶກອົບຮົມ,train
473,ການເດີນທາງ,travel
228,ເປັນໄມ້ຢືນຕົ້ນ,tree
826,ສາມຫຼ່ຽມ,triangle
602,ການເດີນທາງ,trip
611,ບັນຫາໃນການ,trouble
976,ລົດ,truck
455,ຄວາມຈິງ,true
89,ພະຍາຍາມ,try
819,ທໍ່,tube
139,ແລະເຮັດໃຫ້ການ,turn
695,ຊາວ,twenty
173,ສອງ,two
729,ປະເພດ,type
125,ພາຍໃຕ້ການ,under
401,ຫນ່ວຍບໍລິການ,unit
294,ຈົນກ່ວາ,until
154,ເຖິງ,up
90,ພວກເຮົາ,us
155,ການນໍາໃຊ້,use
304,ປົກກະຕິ,usual
946,ຮ່ອມພູ,valley
743,ມູນຄ່າ,value
522,ແຕກຕ່າງກັນ,vary
468,ພາ,verb
127,ຫຼາຍ,very
749,ເບິ່ງ,view
703,ບ້ານ,village
583,ການຢ້ຽມຢາມ,visit
500,ສຽງ,voice
479,ສະຫລະສຽງ,vowel
413,ລໍຖ້າ,wait
282,ຍ່າງ,walk
564,ກໍາແພງ,wall
54,ຕ້ອງການ,want
481,ສົງຄາມ,war
439,ອົບອຸ່ນ,warm
6,ນີ້ແມ່ນ,was
807,ການລ້າງ,wash
269,ສັງເກດເບິ່ງ,watch
190,ນ້ໍາ,water
538,ຄື້ນ,wave
157,ວິທີການ,way
35,ພວກເຮົາ,we
637,ໃສ່,wear
589,ດິນຟ້າອາກາດ,weather
431,ອາທິດ,week
525,ນ້ໍາ,weight
56,ດີ,well
82,ໄດ້,went
39,ໄດ້,were
463,ພາກຕາເວັນຕົກ,west
22,ສິ່ງທີ່,what
356,ຂັບລົດ,wheel
153,ໃນເວລາທີ່,when
110,ບ່ອນທີ່,where
710,ບໍ່ວ່າຈະເປັນ,whether
40,ທີ່,which
243,ໃນຂະນະທີ່,while
278,ສີຂາວ,white
194,ຜູ້ທີ່,who
348,ທັງຫມົດ,whole
776,ທີ່,whose
78,ເປັນຫຍັງ,why
548,ກ້ວາງ,wide
964,ພັນລະຍາຂອງ,wife
574,ປ່າທໍາມະຊາດ,wild
45,ຈະ,will
937,ໄຊຊະນະ,win
330,ພະລັງງານລົມ,wind
555,ປ່ອງຢ້ຽມ,window
804,ປີກ,wing
571,ລະດູຫນາວ,winter
633,ສາຍ,wire
567,ຕ້ອງການ,wish
10,ກັບ,with
799,ແມ່ຍິງ,woman
906,ແມ່ຍິງ,women
378,ສິ່ງມະຫັດ,wonder
752,ຈະບໍ່ໄດ້,won’t
272,ໄມ້,wood
20,ຄໍາ,word
103,ການເຮັດວຽກ,work
95,ໂລກ,world
163,ຈະ,would
162,ຂຽນ,write
573,ລາຍລັກອັກສອນ,written
989,ຜິດພາດ,wrong
614,ຂຽນ,wrote
622,ເດີ່ນ,yard
117,ປີ,year
839,ສີເຫຼືອງ,yellow
394,ແມ່ນແລ້ວ,yes
537,ທັນ,yet
26,ທ່ານ,you
305,ຫນຸ່ມ,young
156,ຂອງທ່ານ,your
