number,odia_(oriya),english
50,କୁହ,tell
740,ତାପମାତ୍ରା,temperature
476,ଦଶ,ten
962,ଶବ୍ଦ,term
369,ପରୀକ୍ଷା,test
191,ଅପେକ୍ଷା,than
911,ଧନ୍ୟବାଦ,thank
4,ତାହା,that
29,େଯମାେନ,the
42,ସେମାନଙ୍କର,their
161,ସେଗୁଡିକ,them
160,ତାପରେ,then
152,ସେଠାରେ,there
166,ଏଗୁଡ଼ିକ,these
11,ସେମାନେ,they
757,ମୋଟା |,thick
825,ପତଳା |,thin
170,ଜିନିଷ,thing
133,ଭାବ |,think
714,ତୃତୀୟ,third
16,ଏହା,this
289,ସେଗୁଡ଼ିକ,those
311,ଯଦିଓ,though
226,ଭାବିଲି,thought
380,ହଜାରେ,thousand
53,ତିନି,three
128,ମାଧ୍ୟମରେ,through
983,ଫୋପାଡି ଦିଅ |,throw
797,ଏହିପରି,thus
833,ବାନ୍ଧ |,tie
43,ସମୟ,time
682,ଛୋଟ,tiny
392,ଟାୟାର,tire
31,କୁ,to
276,ଏକତ୍ର,together
343,କହିଛନ୍ତି,told
616,ସ୍ୱର,tone
148,ମଧ୍ୟ,too
253,ନେଇଗଲା |,took
942,ସାଧନ,tool
347,ଶୀର୍ଷ,top
943,ସମୁଦାୟ,total
628,ସ୍ପର୍ଶ କରନ୍ତୁ |,touch
480,ଆଡକୁ,toward
403,ସହର,town
852,ଟ୍ରାକ୍,track
600,ବାଣିଜ୍ୟ,trade
558,ଟ୍ରେନ୍,train
473,ଭ୍ରମଣ,travel
228,ଗଛ,tree
826,ତ୍ରିରଙ୍ଗା,triangle
602,ଯାତ୍ରା,trip
611,ଅସୁବିଧା,trouble
976,ଟ୍ରକ,truck
455,ସତ୍ୟ,true
89,ଚେଷ୍ଟା କର |,try
819,ନଳି,tube
139,ଟର୍ନ୍,turn
695,କୋଡ଼ିଏ,twenty
173,ଦୁଇଟି,two
729,ଟାଇପ୍ କରନ୍ତୁ |,type
125,ତଳେ |,under
401,ଏକକ,unit
294,ପର୍ଯ୍ୟନ୍ତ,until
154,ଅପ୍,up
90,ଆମ,us
155,ବ୍ୟବହାର କରନ୍ତୁ |,use
304,ସାଧାରଣ,usual
946,ଉପତ୍ୟକା,valley
743,ମୂଲ୍ୟ,value
522,ଭିନ୍ନ ଅଟେ |,vary
468,କ୍ରିୟା,verb
127,ବହୁତ,very
749,ଦର୍ଶନ,view
703,ଗାଁ,village
583,ପରିଦର୍ଶନ କରନ୍ତୁ |,visit
500,ସ୍ୱର,voice
479,ସ୍ ow ରବର୍ଣ୍ଣ,vowel
413,ଅପେକ୍ଷା କର |,wait
282,ଚାଲ,walk
564,କାନ୍ଥ,wall
54,ଇଚ୍ଛା,want
481,ଯୁଦ୍ଧ,war
439,ଗରମ,warm
6,ଥିଲା,was
807,ଧୋଇ ଦିଅ |,wash
269,ଦେଖନ୍ତୁ |,watch
190,ଜଳ,water
538,ତରଙ୍ଗ,wave
157,ଉପାୟ,way
35,ଆମେ,we
637,ପରିଧାନ,wear
589,ପାଣିପାଗ,weather
431,ସପ୍ତାହ,week
525,ଓଜନ,weight
56,ଭଲ,well
82,ଗଲା,went
39,ଥିଲା |,were
463,ପଶ୍ଚିମ,west
22,କଣ,what
356,ଚକ,wheel
153,କେବେ,when
110,କେଉଁଠାରେ,where
710,କି ନୁହେଁ,whether
40,ଯାହା,which
243,ଯେତେବେଳେ,while
278,ଧଳା,white
194,କିଏ,who
348,ପୁରା,whole
776,ଯାହାର,whose
78,କାହିଁକି?,why
548,ଚଉଡା |,wide
964,ପତ୍ନୀ,wife
574,ଜଙ୍ଗଲୀ,wild
45,ଇଚ୍ଛା,will
937,ଜିତନ୍ତୁ |,win
330,ପବନ,wind
555,ୱିଣ୍ଡୋ |,window
804,ଡେଣା,wing
571,ଶୀତ,winter
633,ତାର,wire
567,ଇଚ୍ଛା,wish
10,ସହିତ,with
799,ମହିଳା,woman
906,ମହିଳାମାନେ,women
378,ଆଶ୍ଚର୍ଯ୍ୟ,wonder
752,ହେବ ନାହିଁ,won’t
272,କାଠ,wood
20,ଶବ୍ଦ,word
103,କାମ,work
95,ଦୁନିଆ,world
163,କରିବ,would
162,ଲେଖ,write
573,ଲିଖିତ,written
989,ଭୁଲ,wrong
614,ଲେଖିଛନ୍ତି |,wrote
622,ଅଗଣା,yard
117,ବର୍ଷ,year
839,ହଳଦିଆ,yellow
394,ହଁ,yes
537,ତଥାପି,yet
26,ତୁମେ,you
305,ଯୁବକ,young
156,ତୁମର,your
