"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap","priceChangedFiveDayPercent","priceChangedOneMonthPercent","priceChangedThreeMonthsPercent"
"FSO","UPCOM","Vietnam Fishery Mechanical Shipbuilding Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Commercial Vehicles & Trucks","2017-02-06",5624966,64687109000,"N/A","N/A","N/A"
"FT1","UPCOM","Machinery Spare Parts N01 Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2017-09-27",7079853,287824343862,-11.11,2.25,"N/A"
"FTI","UPCOM","Friendship Trading - Industrial Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Auto Parts","2017-10-27",3943710,26776972000,"N/A","N/A","N/A"
"FTM","UPCOM","Duc Quan Investment and Development Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2017-02-06",50000000,151150000000,3.23,6.45,-12.9
"FTS","HOSE","FPT Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2017-01-13",147567297,7376145684550,2.21,11.7,24.4
"G20","UPCOM","Vinh Phuc Textile Investment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2015-03-09",14400000,17625600000,"N/A","N/A","N/A"
"G36","UPCOM","36 Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-12-26",101756575,1058370136575,0,0.98,-18.63
"GAB","HOSE","FLC Mining Investment &amp; Asset Management Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2019-07-11",14903987,2927143046800,"N/A","N/A","N/A"
"GAS","HOSE","PetroVietnam Gas Joint Stock Corporation","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2012-05-21",1913950000,220487040000000,0.26,6.34,-9.77
"GCB","UPCOM","PETEC Binh Dinh Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2016-12-28",4039147,75128134200,"N/A","N/A","N/A"
"GDT","HOSE","Duc Thanh Wood Processing Joint Stock Company","Consumer Goods","Personal & Household Goods","Household Goods & Home Construction","Furnishings","2009-11-17",19747171,792029972400,-1.47,-6.11,-17.48
"GDW","HNX","Gia Dinh Wasuco Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2010-06-15",9500000,196650000000,-12.56,"N/A","N/A"
"GE2","UPCOM","Power Generation Corporation 2","Utilities","Utilities","Electricity","Conventional Electricity","2021-05-07",262500,30971417978700,"N/A","N/A","N/A"
"GEE","UPCOM","GELEX Electric Equipment Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2022-03-08",300000000,9982800000000,0.88,2.95,-2.95
"GEG","HOSE","Gia Lai Electricity Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2017-03-21",321936902,7130902379300,1.58,2.71,-8.17
"GER","UPCOM","Geru Star Sport Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2010-06-01",2200000,29112600000,"N/A","N/A","N/A"
"GEX","HOSE","Gelex Group Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2015-10-26",851495793,21287394825000,5,4.8,15.6
"GGG","UPCOM","GiaiPhong Motor Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Automobiles","2009-10-12",9635456,62379942144,"N/A","N/A","N/A"
"GH3","UPCOM","Ha Noi Transport Project Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2021-08-04",11500000,110389632000,"N/A","N/A","N/A"
"GHC","UPCOM","Gia Lai Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2011-04-26",47662500,1325541787500,0.36,-2.15,8.64
"GIC","HNX","Green Development And Investment Service Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2020-11-06",12120000,189072000000,-2.56,0,"N/A"
"GIL","HOSE","Binh Thanh Import Export Production and Trade Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2002-01-02",60000000,3204000000000,0.19,-2.1,-34.1
"GKM","HNX","Khang Minh Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-07-17",23813900,904928200000,-2.11,-20.53,-31.84
"GLC","UPCOM","Lao Cai Gold Joint Stock Company","Basic Materials","Basic Resources","Mining","Gold Mining","2019-01-09",10500000,105000000000,"N/A","N/A","N/A"
"GLT","HNX","Global Electrical Technology Corporation","Consumer Goods","Personal & Household Goods","Leisure Goods","Consumer Electronics","2009-11-26",9236446,284595360000,"N/A","N/A","N/A"
"GLW","UPCOM","Gia Lai Water Supply Sewerage  Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2018-01-08",18000000,131400000000,"N/A","N/A","N/A"
"GMA","HNX","Viet Nam Enteco Corporation","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2020-12-01",7199999,899999955000,"N/A","N/A","N/A"
"GMC","HOSE","Garmex Saigon Coporation","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2006-12-22",33000259,838602924550,14.34,"N/A","N/A"
"GMD","HOSE","Gemadept Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2002-04-22",301377957,15671653764000,1.15,-0.96,-15
"GMH","HOSE","Quang Tri Minh Hung Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2022-01-12",16500000,295350000000,-0.28,-1.4,9.5
"GMX","HNX","My Xuan Brick Tile Pottery and Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2011-09-15",9040697,164427008200,1.1,3.85,"N/A"
"GND","UPCOM","Dong Nai Brick and Tile Corporation","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-02-21",9000000,273600000000,"N/A","N/A","N/A"
"GSM","UPCOM","Huong Son Hydro Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2015-04-08",28562000,436998600000,"N/A","N/A","N/A"
"GSP","HOSE","International Gas Product Shipping Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","2012-03-09",55799445,641693617500,4.78,8.26,-0.87
"GTA","HOSE","Thuan An Wood Processing Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2007-07-23",10400000,161703500000,-5.78,5.47,"N/A"
"GTD","UPCOM","Thuong Dinh Footwear Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Footwear","2016-12-16",9300000,172980000000,42.47,"N/A","N/A"
"GTH","UPCOM","Thua Thien Hue Construction Transportation Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2009-10-28",2735500,15039779000,-1.79,10.71,"N/A"
"GTS","UPCOM","Saigon Traffic Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-10-21",28499764,313497404000,"N/A","N/A","N/A"
"GTT","UPCOM","Thuan Thao Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","2010-06-30",43503000,44068539000,"N/A","N/A","N/A"
"GVR","HOSE","Viet Nam Rubber Group - Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2018-03-21",4000000000,101600000000000,6.89,2.76,0.98
"GVT","UPCOM","Viettri Paper Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Paper","2017-01-12",11605100,1233622130000,"N/A","N/A","N/A"
"H11","UPCOM","HUD101 Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2011-04-28",1060000,8798000000,"N/A","N/A","N/A"
"HAC","UPCOM","Hai Phong Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2016-10-18",29181096,236328759000,-3.7,-1.23,"N/A"
"HAD","HNX","Hanoi - Haiduong Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2009-10-27",4000000,66000000000,3.33,"N/A","N/A"
"HAF","UPCOM","Hanoi Foodstuff Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-07-24",14500000,265031000000,-2.91,"N/A","N/A"
"HAG","HOSE","Hoang Anh Gia Lai Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2008-12-22",927467947,11824340858250,2.75,10.98,33.33
"HAH","HOSE","Hai An Transport and Stevedoring Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2015-03-11",68295817,4418739359900,2.32,-3.09,-31.38
"HAI","HOSE","HAI AGROCHEM Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2006-12-27",182682799,345270490110,-11.11,-29.1,-37.57
"HAM","UPCOM","Hau Giang Materials Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-08-21",9338061,235168688400,"N/A","N/A","N/A"
"HAN","UPCOM","Hanoi Construction Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-10-20",141048000,1396375200000,-1.01,"N/A","N/A"
"HAP","HOSE","Hapaco Group Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Paper","2000-08-04",111097772,885319569960,2.13,3.13,-2.01
"HAR","HOSE","An Duong Thao Dien Real Estate Trade Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2013-01-17",101350100,544442472100,3.16,4.57,-16.17
"HAS","HOSE","Hacisco Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2002-12-19",8000000,91260000000,"N/A","N/A","N/A"
"HAT","HNX","Hanoi Beer Trading Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2010-10-29",3123000,62147700000,"N/A","N/A","N/A"
"HAV","UPCOM","Hapro Vodka Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Distillers & Vintners","2017-11-30",3297860,13521226000,"N/A","N/A","N/A"
"HAX","HOSE","Hang Xanh Motors Service Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Automobiles","2006-12-26",56943434,1395114133000,7.55,13.88,23.71
"HBC","HOSE","Hoa Binh Construction Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2006-12-27",245654354,5257003160000,3.25,1.4,0.25
"HBD","UPCOM","Binh Duong PP Pack Making Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2006-12-29",2011100,26661600000,"N/A","N/A","N/A"
"HBH","UPCOM","HABECO - Hai Phong Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-08-10",16000000,136000000000,"N/A","N/A","N/A"
"HBS","HNX","Hoa Binh Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2010-07-16",32999980,260699842000,2.53,6.33,2.53
"HC1","UPCOM","Hanoi Construction Joint Stock Company No.1","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2020-01-06",8000000,148800000000,"N/A","N/A","N/A"
"HC3","UPCOM","HaiPhong Construction Joint Stock Corporation No3","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-07-11",20685717,734342953500,"N/A","N/A","N/A"
"HCB","UPCOM","March 29 Textile Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2019-12-18",5199274,115943810200,"N/A","N/A","N/A"
"HCC","HNX","Intimex - Hoa Cam Concrete Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2007-12-24",6518586,71704017000,"N/A","N/A","N/A"
"HCD","HOSE","HCD Investment Producing And Trading Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2016-07-04",31589802,268513317000,1.88,1.18,-21.76
"HCI","UPCOM","Ha Noi Construction Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2010-09-17",5232000,154344000000,"N/A","N/A","N/A"
"HCM","HOSE","Ho Chi Minh City Securities Corporation","Financials","Financial Services","Financial Services","Investment Services","2009-05-19",458052367,12573328597500,-0.73,1.64,15.45
"HCT","HNX","Hai Phong Cement Transport And Trading Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","2007-11-27",2016385,34278545000,"N/A","N/A","N/A"
"HD2","UPCOM","Housing Development Invesment Joint Stock Company HUD2","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2016-05-16",8962353,152091130410,20.9,33.33,23.16
"HD6","UPCOM","Hanoi Housing Development and Investment Joint Stock Company No. 6","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2020-11-23",14400000,314424000000,5.91,10.32,5.14
"HD8","UPCOM","HUD8 City and Housing Development Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2019-03-15",10000000,94000000000,"N/A","N/A","N/A"
"HDA","HNX","Dong A Paint Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2010-12-27",23000000,287500000000,4,-5.6,-78.4
"HDB","HOSE","Ho Chi Minh City Development Joint Stock Commercial Bank","Banks","Banks","Banks","Banks","2018-01-05",2027290642,52921099856000,3.23,6.08,3.8
"HDC","HOSE","Ba Ria - Vung Tau House Development Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2007-10-08",108085693,5750158867600,-1.13,11.94,14.29
"HDG","HOSE","Ha Do Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-02-02",244605898,13428863800200,3.1,5.46,23.95
"HDM","UPCOM","Hue Textile Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2010-01-21",15224701,368437764200,-1.65,"N/A","N/A"
"HDO","UPCOM","Hung Dao Container Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2010-06-17",16959879,20267954195,"N/A","N/A","N/A"
"HDP","UPCOM","HaTinh Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-03-16",9461418,122998434000,"N/A","N/A","N/A"
"HDW","UPCOM","Hai Duong Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-11-03",31882470,510119520000,"N/A","N/A","N/A"
"HEC","UPCOM","Hydraulic Engineering Consultant Corporation II","Industrials","Industrial Goods & Services","Support Services","Business Support Services","2016-12-21",4200000,234171000000,"N/A","N/A","N/A"
"HEJ","UPCOM","Vietnam Hydraulic Engineering Consultants Corporation - JSC","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-07-14",4400000,95119200000,2.78,-2.78,"N/A"
"HEM","UPCOM","Hanoi Electromechanical Manufacturing Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2017-01-03",38704650,456714870000,"N/A","N/A","N/A"
"HEP","UPCOM","Hue Urban Environment and Public Works Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-12-15",6000000,237000000000,"N/A","N/A","N/A"
"HES","UPCOM","Ha Noi Entertaiment Services Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","2016-12-07",9297450,156197160000,"N/A","N/A","N/A"
"HEV","HNX","Higher Educational And Vocational Book Joint Stock Company","Consumer Services","Media","Media","Publishing","2007-12-11",1000000,50300000000,"N/A","N/A","N/A"
"HFB","UPCOM","Ho Chi Minh City Ferry Bridge Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-03-30",9100000,79170000000,"N/A","N/A","N/A"
"HFC","UPCOM","HFC Petroleum Corporation","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2010-03-01",8198105,113953659500,"N/A","N/A","N/A"
"HFX","UPCOM","Thanh Ha Production and Import - Export Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","2011-11-10",1270000,10922000000,"N/A","N/A","N/A"
"HGM","HNX","Ha Giang Mineral and Mechanics Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2009-12-21",12600000,619877440000,"N/A","N/A","N/A"
"HGT","UPCOM","Huong Giang Tourist Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2020-10-15",20000000,322000000000,"N/A","N/A","N/A"
"HGW","UPCOM","Hau Giang Water Supply and Sewerage - Projects Urban Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-01-11",24878291,248782910000,5,-36,"N/A"
"HHC","HNX","Hai Ha Confectionery Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2007-11-20",16425000,1358347500000,-2.54,"N/A","N/A"
"HHG","HNX","Hoang Ha Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2010-07-28",34896354,125626874400,0,11.11,-5.56
"HHN","UPCOM","Ha Noi Goods Services and Transport Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2016-12-16",1440000,13248000000,"N/A","N/A","N/A"
"HHP","HOSE","Hai Phong Hoang Ha Paper Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Paper","2018-08-08",30069824,290474499840,0.1,2.07,-6.63
"HHR","UPCOM","Ha Hai Railway Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Railroads","2017-02-17",1380000,552000000,"N/A","N/A","N/A"
"HHS","HOSE","Hoang Huy Investment Services Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Automobiles","2012-02-15",321448153,2147273662040,3.74,3.44,-1.8
"HHV","HOSE","Deo Ca Traffic Infrastructure Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2015-12-18",267384090,3970653736500,3.03,0.34,-4.04
"HID","HOSE","Halcom Vietnam Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-07-11",76765032,498148523290,1.85,2.47,-0.15
"HIG","UPCOM","HIPT Group Joint Stock Company","Technology","Technology","Software & Computer Services","Software","2009-06-24",22559030,191751755000,"N/A","N/A","N/A"
"HII","HOSE","An Tien Industries Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2017-06-22",73663016,584884347040,0.25,-0.63,-12.47
"HJC","UPCOM","Hoa Viet Joint Stock Company","Consumer Goods","Personal & Household Goods","Tobacco","Tobacco","2015-10-14",12853052,110536247200,"N/A","N/A","N/A"
"HJS","HNX","Nam Mu Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2006-12-20",20999900,734996500000,0,"N/A","N/A"
"HKB","UPCOM","Ha Noi - Kinh bac Agriculture and Food Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2015-04-08",51599999,68421598674,"N/A","N/A","N/A"
"HKP","UPCOM","Hatien Packaging Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2016-04-08",4000000,124800000000,"N/A","N/A","N/A"
"HKT","HNX","Ego Viet Nam Investment Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","2017-01-12",6135029,42945203000,"N/A","N/A","N/A"
"HLA","UPCOM","Asia Huu Lien Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2008-10-30",34459293,38197279237,"N/A","N/A","N/A"
"HLB","UPCOM","Halong Beer and Beverage Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2017-02-08",3090000,685980000000,"N/A","N/A","N/A"
"HLC","HNX","Ha Lam -  Vinacomin Coal Joint Stock Company","Basic Materials","Basic Resources","Mining","Coal","2009-03-05",25415199,383769504900,-2.65,0.66,-3.18
"HLD","HNX","HUDLAND Real Estate Investment and Development Joint","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2013-03-26",20000000,748000000000,10.16,24.6,-0.27
"HLG","UPCOM","HOANG LONG Group","Consumer Goods","Personal & Household Goods","Tobacco","Tobacco","2009-09-09",44375385,287465002500,"N/A","N/A","N/A"
"HLR","UPCOM","Ha Lang Railways Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Railroads","2016-11-28",1650000,18810000000,"N/A","N/A","N/A"
"HLS","UPCOM","Hoang Lien Son Technical Ceramic Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electrical Components & Equipment","2017-10-16",9628634,194498406800,"N/A","N/A","N/A"
"HLT","UPCOM","Hoang Thi Loan Textile - Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2019-12-27",5500000,99000000000,"N/A","N/A","N/A"
"HLY","UPCOM","Yen Hung Construction Ceramic Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-12-04",1000000,17198366000,"N/A","N/A","N/A"
"HMC","HOSE","VNSTEEL - Ho Chi Minh City Metal Corporation","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2006-12-21",27299999,404039985200,0.34,-0.34,-26.69
"HMG","UPCOM","VNSTEEL - Hanoi Steel Corporation","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2016-09-09",9000000,195300000000,"N/A","N/A","N/A"
"HMH","HNX","Hai Minh Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","2010-07-28",13199847,215840469600,"N/A","N/A","N/A"
"HMR","HNX","Hoang Mai Stone Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2022-01-13",5612444,52756973600,-1.06,1.06,"N/A"
"HMS","UPCOM","Hochiminh Museum Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-06-05",8000000,228800000000,"N/A","N/A","N/A"
"HNA","UPCOM","Hua Na Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2017-10-05",235232210,4398842327000,1.07,"N/A","N/A"
"HNB","UPCOM","Ha Noi Transport Station Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2015-10-22",9500000,129200000000,"N/A","N/A","N/A"
"HND","UPCOM","Hai Phong Thermal power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2016-10-05",500000000,8096500000000,1.23,1.85,1.23
"HNF","UPCOM","Huu Nghi Food Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2015-11-03",30000000,576000000000,"N/A","N/A","N/A"
"HNG","HOSE","Hoang Anh Gia Lai Agricultural Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2015-07-20",1108553895,7693364031300,-0.43,12.39,12.1
"HNI","UPCOM","Huu Nghi Garment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2017-12-12",11890000,713928445000,"N/A","N/A","N/A"
"HNM","UPCOM","Ha Noi Milk Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2006-12-27",20000000,173200000000,"N/A","N/A","N/A"
"HNP","UPCOM","Hanel Plastics Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2016-12-20",5000000,122500000000,"N/A","N/A","N/A"
"HNR","UPCOM","Hanoi Liquor And Beverage Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Distillers & Vintners","2018-06-08",20000000,240000000000,"N/A","N/A","N/A"
"HOM","HNX","VICEM Hoang Mai Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2009-07-09",74769131,561582301800,3.85,6.41,1.28
"HOT","HOSE","Hoi An Tourist Service Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2011-07-21",8000000,229998188750,"N/A","N/A","N/A"
"HPB","UPCOM","PP Pack Making Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2010-04-29",3880000,65463880000,"N/A","N/A","N/A"
"HPD","UPCOM","Dak Doa Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2015-06-11",8306590,207664750000,0,"N/A","N/A"
"HPG","HOSE","Hoa Phat Group Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2007-11-15",5814785700,136647463950000,0.64,2.98,-7.23
"HPH","UPCOM","Ha Bac Hung Phat Chemical Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2017-12-28",8400000,127680000000,"N/A","N/A","N/A"
"HPI","UPCOM","Hiep Phuoc Industrial Park Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2017-10-05",60000000,1026000000000,"N/A","N/A","N/A"
"HPM","UPCOM","Hoang Phuc Mineral Trading and Contruction Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2016-01-18",3800000,91200000000,"N/A","N/A","N/A"
"HPP","UPCOM","Hai Phong Paint Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2010-08-05",8007177,484679106296,-1.48,-0.49,"N/A"
"HPT","UPCOM","HPT Vietnam Corporation","Technology","Technology","Software & Computer Services","Software","2010-06-17",8272605,121754175000,"N/A","N/A","N/A"
"HPW","UPCOM","Hai Phong Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2016-11-21",74206940,1187311040000,"N/A","N/A","N/A"
"HPX","HOSE","Hai Phat Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2018-07-24",304168581,7923591535050,-0.58,-0.58,0.58
"HQC","HOSE","Hoang Quan Consulting Trading Service Real Estate Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-10-20",476600000,2387762362740,0.2,-2.2,-16.77
"HRB","UPCOM","Harec Investment and Trade Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2017-11-06",6338400,167967600000,"N/A","N/A","N/A"
"HRC","HOSE","Hoa Binh Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2006-12-26",30206622,1721777454000,"N/A","N/A","N/A"
"HRT","UPCOM","Hanoi Railway Transport Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2016-09-15",80058970,491401957860,-1.64,0,"N/A"
"HSA","UPCOM","HESTIA Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Business Support Services","2017-01-23",7872727,274758172300,"N/A","N/A","N/A"
"HSG","HOSE","Hoa Sen Group","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2008-12-05",498382696,10640470559600,2.58,15.22,-0.7
"HSI","UPCOM","General Materials Biochemistry Fertilizer Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2007-12-21",10000000,22766513770,"N/A","N/A","N/A"
"HSL","HOSE","Hong Ha Food Investment Development Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2018-05-10",35383508,247684556000,9.29,6.71,8.43
"HSM","UPCOM","HaNoi Textile And Garment Joint Stock Corporation","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-04-19",20500000,280091500000,"N/A","N/A","N/A"
"HSP","UPCOM","Ha Noi Synthetic Paint Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2020-03-30",12027086,133500654600,"N/A","N/A","N/A"
"HSV","UPCOM","Ha Noi Iron And Steel Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2021-04-27",15000000,110055000000,2.7,4.05,-18.92
"HT1","HOSE","VICEM Ha Tien Cement Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2007-11-13",381589911,6219915549300,1.84,-1.23,-2.76
