"symbol","market","name","industry","supersector","sector","subsector","listedDate","issueShare","marketCap"
"DHC","HOSE","Dong Hai Joint Stock Company of Bentre","Basic Materials","Basic Resources","Forestry & Paper","Paper","2009-07-23",69994423,4409648649000
"DHD","UPCOM","Hai Duong Pharmaceutical Medical Material Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-05-05",11999888,403496234000
"DHG","HOSE","Hau Giang Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2006-12-21",130746071,12067862353300
"DHM","HOSE","Duong Hieu Trading and Mining Joint Stock Company","Basic Materials","Basic Resources","Mining","General Mining","2012-07-24",31396180,310822182000
"DHN","UPCOM","Ha Noi Pharmar Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2018-04-19",6290900,120785280000
"DHP","HNX","Hai Phong Electrical Mechanical Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2013-03-21",9492200,107261860000
"DHT","HNX","Hatay Pharmaceutical Joint Stock Company","Consumer Services","Retail","Food & Drug Retailers","Drug Retailers","2008-12-03",26408828,1051011137000
"DIC","UPCOM","DIC Investment and Trading Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2006-12-28",26585840,65211400000
"DID","UPCOM","DIC - Dong Tien Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2009-12-10",15622552,87892477552
"DIG","HOSE","Development Investment Construction Joint Stock Corporation","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2009-08-19",499890962,23357905065900
"DIH","HNX","Development Investment Construction Hoi An Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2011-04-27",5979962,170806571800
"DKC","UPCOM","Lang Son Market Joint Stock Company","Consumer Services","Retail","General Retailers","Broadline Retailers","2020-07-14",2288540,2975102000
"DL1","HNX","Alpha Seven Group Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2010-03-10",106236094,658663782800
"DLD","UPCOM","DakLak Tourist Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","2011-04-08",9307415,150780123000
"DLG","HOSE","Duc Long Gia Lai Group Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2010-06-22",299309720,1275059407200
"DLR","UPCOM","Dalat Real Estate Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-05-20",4500000,57600000000
"DLT","UPCOM","Vinacomin - Tourism & Trading Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2015-11-16",2500056,44751002400
"DM7","UPCOM","Det May 7 Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2018-10-15",15411100,104795480000
"DMC","HOSE","Domesco Medical Import - Export Joint Stock Corporation","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2006-12-25",34727465,1771100715000
"DMN","UPCOM","Domenal Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2021-11-22",12500000,108750000000
"DNA","UPCOM","An Giang Power and Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-10-19",56329567,1402606218300
"DNC","HNX","Haiphong Electricity Water Machine Assembly Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2009-12-23",5137850,296710814400
"DND","UPCOM","Dong Nai Material and Building Investment Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2016-11-09",8834000,132510000000
"DNE","UPCOM","Danang Urban Environment Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2017-04-05",5773600,58313360000
"DNH","UPCOM","Da Nhim - Ham Thuan - Da Mi Hydro Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2017-06-19",422400000,19388160000000
"DNL","UPCOM","Da Nang Port Logistics Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2011-08-18",4310000,94820000000
"DNM","HNX","Danameco Medical Joint Stock Corporation","Health Care","Health Care","Health Care Equipment & Services","Medical Supplies","2011-02-16",4377605,131852057000
"DNN","UPCOM","Da Nang Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2017-07-17",57964061,11592812200
"DNP","HNX","DNP Holding Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-11-28",118909913,2948747354400
"DNT","UPCOM","Dong Nai Tourist Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","2020-02-24",7459675,174742200000
"DNW","UPCOM","Dong Nai Water Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2016-03-16",120000000,2887560000000
"DOC","UPCOM","Dong Nai Joint Stock Company of Agricultural Material","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2016-12-19",10000000,115000000000
"DOP","UPCOM","DongThap Petroleum Transportation Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Trucking","2015-10-30",4719950,68911270000
"DP1","UPCOM","Central Pharmaceutical CPC1. JSC ","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2018-06-12",20979000,505803690000
"DP2","UPCOM","Central Phamarceutical Joint Stock Company No 2","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-05-19",20000000,114000000000
"DP3","HNX","Central Phamarceutical Joint Stock Company No 3","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2015-07-17",8600000,774000000000
"DPC","HNX","Da Nang Plastic Joint Stock Company","Industrials","Industrial Goods & Services","General Industrials","Containers & Packaging","2001-11-26",2237280,44521872000
"DPD","UPCOM","Dong Phu - Dak Nong Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2021-01-20",12000000,288000000000
"DPG","HOSE","Dat Phuong Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-01-12",62999554,2787730264500
"DPH","UPCOM","Hai Phong Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-01-20",3000000,124500000000
"DPM","HOSE","Petrovietnam Fertilizer and Chemicals Corporation","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2007-11-05",391400000,17453507996000
"DPP","UPCOM","Dong Nai Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2010-05-19",3000010,53400178000
"DPR","HOSE","Dong Phu Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2007-11-30",43000000,3010000000000
"DPS","UPCOM","Soc Son Development Investment Joint Stock Company","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2015-05-06",31085257,34193782700
"DQC","HOSE","Dien Quang Joint Stock Company","Consumer Goods","Personal & Household Goods","Household Goods & Home Construction","Furnishings","2008-02-21",34359416,639347131200
"DRC","HOSE","Da Nang Rubber Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Tires","2006-12-29",118792605,3290555158500
"DRG","UPCOM","Dak Lak Rubber Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2019-12-11",1658400,1620320000000
"DRH","HOSE","DRH Holdings JSC","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-07-26",124353866,1103474164720
"DRI","UPCOM","DakLak Rubber Investment Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2017-05-23",73200000,872324400000
"DRL","HOSE","Hydro Power Joint Stock Company - Power No.3","Utilities","Utilities","Electricity","Conventional Electricity","2012-04-11",9500000,646000000000
"DS3","HNX","Inland Waterway Management Joint Stock Company No3","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2017-08-21",10669730,55482596000
"DSC","UPCOM","DSC Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2018-01-05",100000000,2232800000000
"DSD","UPCOM","DHC Suoi Doi Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","2022-05-17",31100000,622000000000
"DSG","UPCOM","Dap Cau Sheet Glass Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-08-11",30000000,153000000000
"DSN","HOSE","Dam Sen Water Park Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","2010-10-26",12083009,642816078800
"DSP","UPCOM","Phu Tho Tourist Service Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Travel & Tourism","2018-10-17",118684000,1246182000000
"DST","HNX","Sao Thang Long Investment Joint Stock Company","Consumer Services","Media","Media","Publishing","2007-10-16",32300000,270639600000
"DSV","UPCOM","Vinh Phu Railway Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Railroads","2016-12-02",1229579,7254516100
"DTA","HOSE","De Tam Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-07-16",18059832,158926521600
"DTB","UPCOM","Bao Loc Urban Project Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2019-07-22",1558248,19478100000
"DTC","HNX","Dong Trieu Viglacera Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2006-12-25",10000000,63000000000
"DTD","HNX","Thanh Dat Investment Development Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-11-16",30736025,743811805000
"DTE","UPCOM","Dai Truong Thanh Holdings Energy Investment Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2020-12-31",50725887,776106071100
"DTG","UPCOM","Tipharco Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-02-28",6315928,135792452000
"DTH","UPCOM","Thanh Hoa Medical Materials Pharmaceutial Joint Stock Company","Health Care","Health Care","Health Care Equipment & Services","Medical Equipment","2022-04-18",7471614,113501759200
"DTI","UPCOM","Duc Trung Investment Join Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","2018-01-05",12097754,113113999900
"DTK","HNX","Vinacomin - Power Holding Corporation","Utilities","Utilities","Electricity","Conventional Electricity","2016-12-15",682767475,8534593437500
"DTL","HOSE","Dai Thien Loc Corporation","Basic Materials","Basic Resources","Industrial Metals & Mining","Steel","2010-06-04",61435604,1482427558800
"DTP","UPCOM","Ha Noi CPC1 Pharmaceutical Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2020-06-18",16229042,862038023914
"DTT","HOSE","Do Thanh Technology Corporation","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2006-12-22",8151820,124722846000
"DTV","UPCOM","Tra Vinh Electric Development Joint Stock Corporation","Utilities","Utilities","Electricity","Conventional Electricity","2010-09-09",5280000,236880000000
"DUS","UPCOM","Da Lat Urban Server Joint Stock Company","Industrials","Industrial Goods & Services","Support Services","Waste & Disposal Services","2020-01-08",5614300,164675280000
"DVC","UPCOM","Hai Phong Port Trading and Service Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2013-04-09",10793670,141688506090
"DVG","HNX","Dai Viet Paint Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2021-01-14",28000000,218400000000
"DVM","HNX","Vietnam Medicinal Materials Joint Stock Company","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2022-07-19",35650000,655960000000
"DVN","UPCOM","Vietnam Pharmaceutical Corporation (VINAPHARM)","Health Care","Health Care","Pharmaceuticals & Biotechnology","Pharmaceuticals","2017-05-19",237000000,4429530000000
"DVP","HOSE","Dinh Vu Port Investment & Development Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2009-12-01",40000000,2084000000000
"DVW","UPCOM","Dong Nai Water Supply Construction and Services Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2018-06-06",2345000,46900000000
"DWC","UPCOM","Daklak Water Supply Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2021-12-22",20172800,368784000000
"DWS","UPCOM","Dong Thap Water Supply &amp; Urban Environment Joint - Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2019-01-24",25918130,292874869000
"DXG","HOSE","Dat Xanh Group Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2009-12-22",609276876,15066728872000
"DXL","UPCOM","Lang Son Tourism and Import - Export Joint Stock Company","Consumer Services","Travel & Leisure","Travel & Leisure","Hotels","2010-06-28",3957900,15503094300
"DXP","HNX","Doan Xa Port Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2006-11-13",27282027,368307364500
"DXS","HOSE","Dat Xanh Real Estate Services Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","2021-07-15",411930113,6693864336250
"DXV","HOSE","Danang Building Material VICEM Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2008-02-26",9900000,53460000000
"DZM","HNX","Dzi An Mechanoelectric Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2009-06-11",5395985,36153099500
"E12","UPCOM","VNECO 12 Electricity Construction Joint-stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2019-12-31",1200000,8820000000
"E29","UPCOM","29 Investment Construction And Engineering Joint Stcock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2019-11-05",5000000,30500000000
"EBS","HNX","Educational Book Joint Stock Company In Hanoi city","Consumer Services","Media","Media","Publishing","2006-12-21",10219484,99655840000
"ECI","HNX","ECI Group Joint Stock Company","Consumer Services","Media","Media","Publishing","2009-06-16",1860000,49456000000
"EFI","UPCOM","Education Financial Investment Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2009-09-30",10880000,27493760000
"EIB","HOSE","Vietnam Export Import Commercial Joint Stock Bank","Banks","Banks","Banks","Banks","2009-10-27",1235522904,36882987120000
"EIC","UPCOM","EVN International Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-02-28",36677145,923457156810
"EID","HNX","Hanoi Education Development and Investment Joint Stock Company","Consumer Services","Media","Media","Publishing","2009-08-11",15000000,318000000000
"EIN","UPCOM","Power Investment - Trade - Service Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2017-03-16",45407161,297643940355
"ELC","HOSE","ELCOM Technology Communications Corporation","Technology","Technology","Technology Hardware & Equipment","Telecommunications Equipment","2010-10-13",50928243,825037536600
"EMC","HOSE","Thu Duc Electro Mechanical Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2012-11-29",15297333,275351994000
"EME","UPCOM","Electro Mechanical Corporation","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2017-07-17",3780298,172003559000
"EMG","UPCOM","Electrical Mechanical Equipment and Spare Parts Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2017-02-16",3000000,37800000000
"EMS","UPCOM","VN Post Express Joint Stock Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Delivery Services","2018-01-05",17999753,611991602000
"EPC","UPCOM","Ea Pok Coffee Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","2018-10-03",9388500,80741100000
"EPH","UPCOM","Ha Noi Education Publishing Services Joint Stock Company","Consumer Services","Media","Media","Publishing","2017-12-21",2500000,27500000000
"EVE","HOSE","Everpia Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2010-12-17",41979773,616373835000
"EVF","HOSE","EVN Finance Joint Stock Company","Financials","Financial Services","Financial Services","Consumer Finance","2018-08-07",324486958,3472010450600
"EVG","HOSE","Everland Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2017-06-08",215249836,1390513940560
"EVS","HNX","Everest Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2018-08-01",103000400,3038511800000
"FBA","UPCOM","FBA International Group","Consumer Goods","Personal & Household Goods","Household Goods & Home Construction","Furnishings","2011-02-18",3414900,3073410000
"FBC","UPCOM","Pho Yen Mechanical Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2017-10-20",3700000,13690000000
"FCC","UPCOM","Foodstuff Combinatorial Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2016-05-09",5997040,44977800000
"FCM","HOSE","FECON Mining Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2013-05-15",45099969,233617839420
"FCN","HOSE","FECON Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2012-07-24",157439005,2440304577500
"FCS","UPCOM","Ho Chi Minh City Food Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-03-03",29450000,85405000000
"FDC","HOSE","Foreign Trade Development And Investment Corporation of Ho Chi Minh City","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2010-01-18",38629988,973311897600
"FGL","UPCOM","Gia Lai Coffee Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Soft Drinks","2018-09-14",14676300,183453750000
"FHN","UPCOM","Hanoi Food Import - Export Joint Stock Company","Consumer Services","Retail","Food & Drug Retailers","Food Retailers & Wholesalers","2017-12-29",3000000,54600000000
"FHS","UPCOM","Ho Chi Minh City Book Distribution Corporation","Consumer Services","Media","Media","Publishing","2018-11-01",12751462,291268895004
"FIC","UPCOM","FICO Corporation - JSC","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2018-08-02",127000000,3269742000000
"FID","HNX","Vietnam Enterprise Investment and Development Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Services","2015-05-20",24715958,81562661400
"FIR","HOSE","First Real Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2018-10-18",44615015,1985368167500
"FIT","HOSE","F.I.T Group Joint Stock Company","Financials","Financial Services","Financial Services","Specialty Finance","2013-07-26",339933034,2376131907660
"FLC","HOSE","FLC Group Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2011-10-05",709997807,3855288092010
"FMC","HOSE","Sao Ta Foods Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2006-12-07",65388889,3249827783300
"FOC","UPCOM","FPT Online Service Joint Stock Company","Consumer Services","Media","Media","Media Agencies","2018-12-10",18471275,2238015906000
"FOX","UPCOM","FPT Telecom","Telecommunications","Telecommunications","Fixed Line Telecommunications","Fixed Line Telecommunications","2017-01-13",328339538,23425055999072
"FPT","HOSE","FPT Corporation","Technology","Technology","Software & Computer Services","Software","2006-12-13",1097026572,91601718762000
"FRC","UPCOM","Forest Products Export Joint Stock Company of Quang Nam","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2018-07-26",3000000,108600000000
"FRM","UPCOM","Saigon Forestry Import Export Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2017-11-24",11700000,128700000000
"FRT","HOSE","FPT Digital Retail Joint Stock Company","Consumer Services","Retail","General Retailers","Specialty Retailers","2018-04-26",118472535,8530022520000
"FSO","UPCOM","Vietnam Fishery Mechanical Shipbuilding Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Commercial Vehicles & Trucks","2017-02-06",5624966,64687109000
"FT1","UPCOM","Machinery Spare Parts N01 Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2017-09-27",7079853,304433679000
"FTI","UPCOM","Friendship Trading - Industrial Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Auto Parts","2017-10-27",3943710,19295171000
"FTM","UPCOM","Duc Quan Investment and Development Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2017-02-06",50000000,145000000000
"FTS","HOSE","FPT Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2017-01-13",147567297,6090827829750
"G20","UPCOM","Vinh Phuc Textile Investment Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2015-03-09",14400000,17280000000
"G36","UPCOM","36 Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-12-26",101756575,974827988500
"GAB","HOSE","FLC Mining Investment &amp; Asset Management Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2019-07-11",14903987,2927143046800
"GAS","HOSE","PetroVietnam Gas Joint Stock Corporation","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2012-05-21",1913950000,205749625000000
"GCB","UPCOM","PETEC Binh Dinh Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Gas Distribution","2016-12-28",4039147,72704646000
"GDT","HOSE","Duc Thanh Wood Processing Joint Stock Company","Consumer Goods","Personal & Household Goods","Household Goods & Home Construction","Furnishings","2009-11-17",19747171,852061584000
"GDW","HNX","Gia Dinh Wasuco Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2010-06-15",9500000,325850000000
"GE2","UPCOM","Power Generation Corporation 2","Utilities","Utilities","Electricity","Conventional Electricity","2021-05-07",262500,30852753542000
"GEE","UPCOM","GELEX Electric Equipment Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2022-03-08",300000000,9298500000000
"GEG","HOSE","Gia Lai Electricity Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2017-03-21",321936902,6953837083200
"GER","UPCOM","Geru Star Sport Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2010-06-01",2200000,27500000000
"GEX","HOSE","Gelex Group Joint Stock Company","Industrials","Industrial Goods & Services","Electronic & Electrical Equipment","Electronic Equipment","2015-10-26",851495793,19584403239000
"GGG","UPCOM","GiaiPhong Motor Joint Stock Company","Consumer Goods","Automobiles & Parts","Automobiles & Parts","Automobiles","2009-10-12",9635456,56897367680
"GH3","UPCOM","Ha Noi Transport Project Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2021-08-04",11500000,110389632000
"GHC","UPCOM","Gia Lai Hydropower Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2011-04-26",47662500,1323778275000
"GIC","HNX","Green Development And Investment Service Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2020-11-06",12120000,195132000000
"GIL","HOSE","Binh Thanh Import Export Production and Trade Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2002-01-02",60000000,3240000000000
"GKM","HNX","Khang Minh Group Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-07-17",23813900,1090676620000
"GLC","UPCOM","Lao Cai Gold Joint Stock Company","Basic Materials","Basic Resources","Mining","Gold Mining","2019-01-09",10500000,105000000000
"GLT","HNX","Global Electrical Technology Corporation","Consumer Goods","Personal & Household Goods","Leisure Goods","Consumer Electronics","2009-11-26",9236446,292726656000
"GLW","UPCOM","Gia Lai Water Supply Sewerage  Joint Stock Company","Utilities","Utilities","Gas, Water & Multi-utilities","Water","2018-01-08",18000000,126000000000
"GMA","HNX","Viet Nam Enteco Corporation","Industrials","Industrial Goods & Services","Industrial Engineering","Industrial Machinery","2020-12-01",7199999,359999950000
"GMC","HOSE","Garmex Saigon Coporation","Consumer Goods","Personal & Household Goods","Personal Goods","Clothing & Accessories","2006-12-22",33000259,734807277700
"GMD","HOSE","Gemadept Corporation","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2002-04-22",301377957,15068897850000
"GMH","HOSE","Quang Tri Minh Hung Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2022-01-12",16500000,298650000000
"GMX","HNX","My Xuan Brick Tile Pottery and Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2011-09-15",9040697,158102892500
"GND","UPCOM","Dong Nai Brick and Tile Corporation","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-02-21",9000000,294471000000
"GSM","UPCOM","Huong Son Hydro Power Joint Stock Company","Utilities","Utilities","Electricity","Conventional Electricity","2015-04-08",28562000,431286200000
"GSP","HOSE","International Gas Product Shipping Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Marine Transportation","2012-03-09",55799445,580314228000
"GTA","HOSE","Thuan An Wood Processing Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Forestry","2007-07-23",10400000,155314000000
"GTD","UPCOM","Thuong Dinh Footwear Joint Stock Company","Consumer Goods","Personal & Household Goods","Personal Goods","Footwear","2016-12-16",9300000,103443900000
"GTH","UPCOM","Thua Thien Hue Construction Transportation Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2009-10-28",2735500,12974476500
"GTS","UPCOM","Saigon Traffic Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-10-21",28499764,288560110500
"GTT","UPCOM","Thuan Thao Corporation","Consumer Services","Travel & Leisure","Travel & Leisure","Recreational Services","2010-06-30",43503000,43459497000
"GVR","HOSE","Viet Nam Rubber Group - Joint Stock Company","Basic Materials","Chemicals","Chemicals","Commodity Chemicals","2018-03-21",4000000000,95600000000000
"GVT","UPCOM","Viettri Paper Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Paper","2017-01-12",11605100,1334586500000
"H11","UPCOM","HUD101 Construction Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2011-04-28",1060000,9116000000
"HAC","UPCOM","Hai Phong Securities Joint Stock Company","Financials","Financial Services","Financial Services","Investment Services","2016-10-18",29181096,235307585350
"HAD","HNX","Hanoi - Haiduong Beer Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2009-10-27",4000000,59200000000
"HAF","UPCOM","Hanoi Foodstuff Joint Stock Company","Consumer Goods","Food & Beverage","Food Producers","Food Products","2017-07-24",14500000,456750000000
"HAG","HOSE","Hoang Anh Gia Lai Corporation","Consumer Goods","Food & Beverage","Food Producers","Farming & Fishing","2008-12-22",927467947,10340502005450
"HAH","HOSE","Hai An Transport and Stevedoring Joint Stock Company","Industrials","Industrial Goods & Services","Industrial Transportation","Transportation Services","2015-03-11",68295817,4507523922000
"HAI","HOSE","HAI AGROCHEM Joint Stock Company","Basic Materials","Chemicals","Chemicals","Specialty Chemicals","2006-12-27",182682799,434785061620
"HAM","UPCOM","Hau Giang Materials Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Building Materials & Fixtures","2017-08-21",9338061,223603015200
"HAN","UPCOM","Hanoi Construction Corporation","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2016-10-20",141048000,1410480000000
"HAP","HOSE","Hapaco Group Joint Stock Company","Basic Materials","Basic Resources","Forestry & Paper","Paper","2000-08-04",111097772,813207073660
"HAR","HOSE","An Duong Thao Dien Real Estate Trade Joint Stock Company","Financials","Real Estate","Real Estate Investment & Services","Real Estate Holding & Development","2013-01-17",101350100,514780404200
"HAS","HOSE","Hacisco Joint Stock Company","Industrials","Construction & Materials","Construction & Materials","Heavy Construction","2002-12-19",8000000,88530000000
"HAT","HNX","Hanoi Beer Trading Joint Stock Company","Consumer Goods","Food & Beverage","Beverages","Brewers","2010-10-29",3123000,59337000000
