symbol,name,lastsale,netchange,pctchange,marketCap,url
CODX,"Co-Diagnostics, Inc. Common Stock",$3.01,UNCH,--,"93,062,747",/market-activity/stocks/codx
COE,"51Talk Online Education Group American depositary shares, each representing 15 Class A ordinary shares",$1.65,-0.07,-4.07%,"36,749,097",/market-activity/stocks/coe
COEP,Coeptis Therapeutics Holdings Inc. Common Stock,$1.84,-0.0099,-0.535%,"9,414,202",/market-activity/stocks/coep
COEPW,"Coeptis Therapeutics Holdings, Inc. Warrants",$0.09,UNCH,--,NA,/market-activity/stocks/coepw
COF,Capital One Financial Corporation Common Stock,$100.09,-3.15,-3.051%,"38,204,210,071",/market-activity/stocks/cof
COF^I,"Capital One Financial Corporation Depositary shares each representing a 1/40th interest in a share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series I of the Issuer",$19.8001,0.3701,1.905%,NA,/market-activity/stocks/cof^i
COF^J,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non- Cumulative Perpetual Preferred Stock, Series J",$18.74,0.42,2.293%,NA,/market-activity/stocks/cof^j
COF^K,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series K",$18.43,0.26,1.431%,NA,/market-activity/stocks/cof^k
COF^L,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series L",$17.66,0.27,1.553%,NA,/market-activity/stocks/cof^l
COF^N,"Capital One Financial Corporation Depositary Shares, Each Representing a 1/40th Ownership Interest in a Share of Fixed Rate Non-Cumulative Perpetual Preferred Stock, Series N",$17.0435,0.2235,1.329%,NA,/market-activity/stocks/cof^n
COFS,"ChoiceOne Financial Services, Inc. Common Stock",$23.00,0.30,1.322%,"172,823,748",/market-activity/stocks/cofs
COGT,"Cogent Biosciences, Inc. Common Stock",$12.7195,0.1395,1.109%,"889,009,534",/market-activity/stocks/cogt
COHN,Cohen & Company Inc.,$8.84,UNCH,--,"15,177,767",/market-activity/stocks/cohn
COHR,Coherent Corp. Common Stock,$37.40,0.73,1.991%,"5,187,006,898",/market-activity/stocks/cohr
COHU,"Cohu, Inc. Common Stock",$35.795,-0.025,-0.07%,"1,704,914,669",/market-activity/stocks/cohu
COIN,"Coinbase Global, Inc. Class A Common Stock",$45.0955,-0.6345,-1.387%,"11,810,511,450",/market-activity/stocks/coin
COKE,"Coca-Cola Consolidated, Inc. Common Stock",$496.03,4.23,0.86%,"4,649,630,955",/market-activity/stocks/coke
COLB,"Columbia Banking System, Inc. Common Stock",$33.73,-0.33,-0.969%,"2,652,733,560",/market-activity/stocks/colb
COLD,"Americold Realty Trust, Inc. Common Stock",$30.26,0.41,1.374%,"8,152,022,425",/market-activity/stocks/cold
COLI,Colicity Inc. Class A Common Stock,$10.05,UNCH,--,"433,406,250",/market-activity/stocks/coli
COLIU,Colicity Inc. Units,$10.05,0.01,0.10%,NA,/market-activity/stocks/coliu
COLIW,Colicity Inc. Warrant,$0.001,UNCH,--,NA,/market-activity/stocks/coliw
COLL,"Collegium Pharmaceutical, Inc. Common Stock",$22.085,0.215,0.983%,"741,435,919",/market-activity/stocks/coll
COLM,Columbia Sportswear Company Common Stock,$90.28,0.69,0.77%,"5,607,618,155",/market-activity/stocks/colm
COMM,"CommScope Holding Company, Inc. Common Stock",$8.795,-0.085,-0.957%,"1,832,434,169",/market-activity/stocks/comm
COMP,"Compass, Inc. Class A Common Stock",$3.11,0.12,4.013%,"1,354,321,322",/market-activity/stocks/comp
COMS,ComSovereign Holding Corp. Common Stock,$0.1228,0.0315,34.502%,"19,799,422",/market-activity/stocks/coms
COMSP,ComSovereign Holding Corp. 9.25% Series A Cumulative Redeemable Perpetual Preferred Stock,$1.68,0.13,8.387%,NA,/market-activity/stocks/comsp
COMSW,ComSovereign Holding Corp. Warrants,$0.0363,0.0063,21.00%,NA,/market-activity/stocks/comsw
CONN,"Conn's, Inc. Common Stock",$10.11,0.15,1.506%,"241,658,198",/market-activity/stocks/conn
CONX,CONX Corp. Class A Common Stock,$10.045,UNCH,--,"942,020,100",/market-activity/stocks/conx
CONXU,CONX Corp. Unit,$10.04,-0.03,-0.298%,NA,/market-activity/stocks/conxu
CONXW,CONX Corp. Warrant,$0.18,-0.049,-21.397%,NA,/market-activity/stocks/conxw
COO,"The Cooper Companies, Inc. Common Stock",$322.65,6.30,1.991%,"15,921,482,060",/market-activity/stocks/coo
COOK,"Traeger, Inc. Common Stock",$3.30,0.10,3.125%,"404,634,374",/market-activity/stocks/cook
COOL,Corner Growth Acquisition Corp. Class A Ordinary Shares,$10.06,UNCH,--,"503,000,000",/market-activity/stocks/cool
COOLU,Corner Growth Acquisition Corp. Unit,$10.0624,0.0024,0.024%,NA,/market-activity/stocks/coolu
COOLW,Corner Growth Acquisition Corp. Warrant,$0.0301,UNCH,--,NA,/market-activity/stocks/coolw
COOP,Mr. Cooper Group Inc. Common Stock,$44.97,-0.19,-0.421%,"3,173,295,818",/market-activity/stocks/coop
COP,ConocoPhillips Common Stock,$124.84,1.33,1.077%,"155,559,511,879",/market-activity/stocks/cop
CORR,"CorEnergy Infrastructure Trust, Inc. Common Stock",$3.4131,-0.0469,-1.355%,"54,134,060",/market-activity/stocks/corr
CORR^A,"CorEnergy Infrastructure Trust, Inc. Depositary Shares, each representing a 1/100th fractional interest of a share of 7.375% Series A Cumulative Redeemable Preferred Stock",$13.09,0.48,3.807%,NA,/market-activity/stocks/corr^a
CORS,Corsair Partnering Corporation Class A Ordinary Shares,$9.86,-0.04,-0.404%,"293,280,770",/market-activity/stocks/cors
CORT,Corcept Therapeutics Incorporated Common Stock,$25.08,-0.20,-0.791%,"2,699,858,338",/market-activity/stocks/cort
CORZ,"Core Scientific, Inc. Common Stock",$0.168,0.0347,26.032%,"62,920,702",/market-activity/stocks/corz
CORZW,"Core Scientific, Inc. Warrant",$0.05,0.01,25.00%,NA,/market-activity/stocks/corzw
COSM,Cosmos Holdings Inc. Common Stock,$0.5686,-0.0264,-4.437%,"47,647,248",/market-activity/stocks/cosm
COST,Costco Wholesale Corporation Common Stock,$501.00,-38.25,-7.093%,"221,744,676,645",/market-activity/stocks/cost
COTY,Coty Inc. Class A Common Stock,$7.87,UNCH,--,"6,690,385,375",/market-activity/stocks/coty
COUP,Coupa Software Incorporated Common Stock,$64.95,1.71,2.704%,"4,931,670,842",/market-activity/stocks/coup
COUR,"Coursera, Inc. Common Stock",$14.24,0.30,2.152%,"2,087,304,455",/market-activity/stocks/cour
COVA,COVA Acquisition Corp. Class A Ordinary Share,$10.05,-0.01,-0.099%,"376,875,000",/market-activity/stocks/cova
COVAU,COVA Acquisition Corp. Unit,$10.08,0.0199,0.198%,NA,/market-activity/stocks/covau
COVAW,COVA Acquisition Corp. Warrants to purchase Class A ordinary shares,$0.075,UNCH,--,NA,/market-activity/stocks/covaw
COWN,Cowen Inc. Class A Common Stock,$38.62,-0.04,-0.103%,"1,081,912,227",/market-activity/stocks/cown
COWNL,Cowen Inc. 7.75% Senior Notes due 2033,$25.24,0.07,0.278%,NA,/market-activity/stocks/cownl
CP,Canadian Pacific Railway Limited Common Stock,$82.43,0.52,0.635%,"76,670,085,710",/market-activity/stocks/cp
CPA,"Copa Holdings, S.A. Copa Holdings, S.A. Class A Common Stock",$87.84,0.21,0.24%,"3,462,286,419",/market-activity/stocks/cpa
CPAA,Conyers Park III Acquisition Corp. Class A Common Stock,$9.86,0.01,0.102%,"440,002,500",/market-activity/stocks/cpaa
CPAAW,Conyers Park III Acquisition Corp. Warrants,$0.2529,-0.0562,-18.182%,NA,/market-activity/stocks/cpaaw
CPAC,Cementos Pacasmayo S.A.A. American Depositary Shares (Each representing five Common Shares),$5.31,UNCH,--,"454,649,469",/market-activity/stocks/cpac
CPAQ,Counter Press Acquisition Corporation Class A Ordinary Share,$10.20,UNCH,--,"94,333,588",/market-activity/stocks/cpaq
CPAQU,Counter Press Acquisition Corporation Unit,$10.21,-0.07,-0.681%,NA,/market-activity/stocks/cpaqu
CPAQW,Counter Press Acquisition Corporation Warrant,$0.047,-0.003,-6.00%,NA,/market-activity/stocks/cpaqw
CPAR,Catalyst Partners Acquisition Corp. Class A Ordinary Share,$10.00,UNCH,--,"449,120,270",/market-activity/stocks/cpar
CPARU,Catalyst Partners Acquisition Corp. Unit,$9.99,-0.02,-0.20%,NA,/market-activity/stocks/cparu
CPARW,Catalyst Partners Acquisition Corp. Warrant,$0.0301,-0.0017,-5.346%,NA,/market-activity/stocks/cparw
CPB,Campbell Soup Company Common Stock,$53.75,0.08,0.149%,"16,112,013,893",/market-activity/stocks/cpb
CPE,Callon Petroleum Company Common Stock,$42.57,0.65,1.551%,"2,622,674,739",/market-activity/stocks/cpe
CPF,Central Pacific Financial Corp New,$21.02,-0.17,-0.802%,"572,330,017",/market-activity/stocks/cpf
CPG,Crescent Point Energy Corporation Ordinary Shares (Canada),$7.84,0.07,0.901%,"4,362,961,497",/market-activity/stocks/cpg
CPHC,Canterbury Park Holding Corporation 'New' Common Stock,$29.2499,0.5499,1.916%,"142,740,419",/market-activity/stocks/cphc
CPHI,"China Pharma Holdings, Inc. Common Stock",$0.1169,-0.0038,-3.148%,"6,037,012",/market-activity/stocks/cphi
CPIX,Cumberland Pharmaceuticals Inc. Common Stock,$2.33,0.06,2.643%,"33,701,416",/market-activity/stocks/cpix
CPK,Chesapeake Utilities Corporation Common Stock,$118.43,-1.30,-1.086%,"2,101,070,657",/market-activity/stocks/cpk
CPLP,Capital Product Partners L.P. Common Units,$14.15,0.03,0.212%,"287,849,714",/market-activity/stocks/cplp
CPNG,"Coupang, Inc. Class A Common Stock",$19.83,0.35,1.797%,"35,105,013,861",/market-activity/stocks/cpng
CPOP,"Pop Culture Group Co., Ltd Class A Ordinary Shares",$0.78,UNCH,--,"18,759,000",/market-activity/stocks/cpop
CPRI,Capri Holdings Limited Ordinary Shares,$58.115,0.765,1.334%,"7,484,813,680",/market-activity/stocks/cpri
CPRT,"Copart, Inc. (DE) Common Stock",$67.32,0.76,1.142%,"32,064,516,741",/market-activity/stocks/cprt
CPRX,"Catalyst Pharmaceuticals, Inc. Common Stock",$16.43,-0.34,-2.027%,"1,709,892,281",/market-activity/stocks/cprx
CPS,Cooper-Standard Holdings Inc. Common Stock,$7.16,0.09,1.273%,"122,493,488",/market-activity/stocks/cps
CPSH,CPS Technologies Corp. Common Stock,$3.21,0.04,1.262%,"46,348,503",/market-activity/stocks/cpsh
CPSI,"Computer Programs and Systems, Inc. Common Stock",$29.55,-0.05,-0.169%,"428,892,748",/market-activity/stocks/cpsi
CPSS,"Consumer Portfolio Services, Inc. Common Stock",$8.53,-0.09,-1.044%,"174,344,551",/market-activity/stocks/cpss
CPT,Camden Property Trust Common Stock,$121.62,1.29,1.072%,"12,955,939,617",/market-activity/stocks/cpt
CPTK,Crown PropTech Acquisitions Class A Ordinary Shares,$10.03,UNCH,--,"346,035,000",/market-activity/stocks/cptk
CPTN,"Cepton, Inc. Common Stock",$1.395,0.035,2.574%,"218,197,028",/market-activity/stocks/cptn
CPTNW,"Cepton, Inc. Warrant",$0.145,0.017,13.281%,NA,/market-activity/stocks/cptnw
CPUH,Compute Health Acquisition Corp. Class A Common Stock,$10.01,UNCH,--,"1,079,203,125",/market-activity/stocks/cpuh
CPZ,Calamos Long/Short Equity & Dynamic Income Trust Common Stock,$16.23,0.01,0.062%,"318,630,509",/market-activity/stocks/cpz
CQP,"Cheniere Energy Partners, LP Cheniere Energy Partners, LP Common Units",$60.975,-1.105,-1.78%,"29,513,828,212",/market-activity/stocks/cqp
CR,"Crane Holdings, Co. Common Stock",$107.00,1.06,1.001%,"6,007,453,689",/market-activity/stocks/cr
CRAI,"CRA International, Inc. Common Stock",$122.00,-1.26,-1.022%,"870,455,970",/market-activity/stocks/crai
CRBG,Corebridge Financial Inc. Common Stock,$22.27,0.03,0.135%,"14,364,150,000",/market-activity/stocks/crbg
CRBP,"Corbus Pharmaceuticals Holdings, Inc. Common Stock",$0.1616,-0.0329,-16.915%,"20,245,390",/market-activity/stocks/crbp
CRBU,"Caribou Biosciences, Inc. Common Stock",$9.10,-0.21,-2.256%,"555,114,205",/market-activity/stocks/crbu
CRC,California Resources Corporation Common Stock,$45.65,0.27,0.595%,"3,353,948,046",/market-activity/stocks/crc
CRCT,"Cricut, Inc. Class A Common Stock",$9.15,0.93,11.314%,"2,020,488,955",/market-activity/stocks/crct
CRD/A,Crawford & Company,$6.34,0.01,0.158%,NA,/market-activity/stocks/crd/a
CRD/B,Crawford & Company,$6.00,0.14,2.389%,NA,/market-activity/stocks/crd/b
CRDF,"Cardiff Oncology, Inc. Common Stock",$1.5601,-0.0299,-1.881%,"69,700,851",/market-activity/stocks/crdf
CRDL,Cardiol Therapeutics Inc. Class A Common Shares,$0.5129,-0.0024,-0.466%,"32,673,259",/market-activity/stocks/crdl
CRDO,Credo Technology Group Holding Ltd Ordinary Shares,$13.905,-0.025,-0.179%,"2,025,708,349",/market-activity/stocks/crdo
CREC,Crescera Capital Acquisition Corp Class A Ordinary Shares,$10.21,0.02,0.196%,"273,968,330",/market-activity/stocks/crec
CRECU,Crescera Capital Acquisition Corp Unit,$10.20,0.02,0.196%,NA,/market-activity/stocks/crecu
CRECW,Crescera Capital Acquisition Corp Warrant,$0.0518,-0.0381,-42.38%,NA,/market-activity/stocks/crecw
CREG,Smart Powerr Corp. Common Stock,$2.93,-0.0514,-1.724%,"21,559,092",/market-activity/stocks/creg
CRESW,Cresud S.A.C.I.F. y A. Warrant,$0.3775,0.0015,0.399%,NA,/market-activity/stocks/cresw
CRESY,Cresud S.A.C.I.F. y A. American Depositary Shares,$5.9384,0.1025,1.756%,"351,651,335",/market-activity/stocks/cresy
CREX,"Creative Realities, Inc. Common Stock",$0.626,-0.024,-3.692%,"13,646,253",/market-activity/stocks/crex
CREXW,"Creative Realities, Inc. Warrant",$0.0174,0.0052,42.623%,NA,/market-activity/stocks/crexw
CRF,"Cornerstone Total Return Fund, Inc. (The) Common Stock",$8.2599,0.0599,0.73%,"802,445,651",/market-activity/stocks/crf
CRGE,"Charge Enterprises, Inc. Common Stock",$2.175,0.055,2.594%,"325,008,018",/market-activity/stocks/crge
CRGY,Crescent Energy Company Class A Common Stock,$14.33,0.28,1.993%,"691,883,396",/market-activity/stocks/crgy
CRH,CRH PLC American Depositary Shares,$40.64,0.29,0.719%,"30,360,056,567",/market-activity/stocks/crh
CRI,"Carter's, Inc. Common Stock",$74.025,0.985,1.349%,"2,824,911,700",/market-activity/stocks/cri
CRIS,"Curis, Inc. Common Stock",$0.7942,-0.0127,-1.574%,"76,559,578",/market-activity/stocks/cris
CRK,"Comstock Resources, Inc. Common Stock",$18.51,0.16,0.872%,"4,326,854,620",/market-activity/stocks/crk
CRKN,Crown Electrokinetics Corp. Common Stock,$0.2094,0.0044,2.146%,"4,244,574",/market-activity/stocks/crkn
CRL,"Charles River Laboratories International, Inc. Common Stock",$228.57,UNCH,--,"11,629,334,402",/market-activity/stocks/crl
CRM,"Salesforce, Inc. Common Stock",$143.325,-16.925,-10.562%,"143,325,000,000",/market-activity/stocks/crm
CRMD,CorMedix Inc. Common Stock,$4.21,0.05,1.202%,"173,797,784",/market-activity/stocks/crmd
CRMT,America's Car-Mart Inc Common Stock,$73.00,0.24,0.33%,"464,925,320",/market-activity/stocks/crmt
CRNC,Cerence Inc. Common Stock,$19.92,-0.59,-2.877%,"785,445,600",/market-activity/stocks/crnc
CRNT,Ceragon Networks Ltd. Ordinary Shares,$1.97,0.01,0.51%,"166,005,844",/market-activity/stocks/crnt
CRNX,"Crinetics Pharmaceuticals, Inc. Common Stock",$17.9325,0.0625,0.35%,"964,956,361",/market-activity/stocks/crnx
CRON,Cronos Group Inc. Common Share,$3.1926,0.0826,2.656%,"1,208,296,512",/market-activity/stocks/cron
CROX,"Crocs, Inc. Common Stock",$100.99,-0.01,-0.01%,"6,235,620,885",/market-activity/stocks/crox
CRS,Carpenter Technology Corporation Common Stock,$40.95,-0.11,-0.268%,"1,983,819,720",/market-activity/stocks/crs
CRSP,CRISPR Therapeutics AG Common Shares,$54.49,-0.30,-0.548%,"4,266,247,634",/market-activity/stocks/crsp
CRSR,"Corsair Gaming, Inc. Common Stock",$16.88,0.01,0.059%,"1,697,015,794",/market-activity/stocks/crsr
CRT,Cross Timbers Royalty Trust Common Stock,$23.43,0.31,1.341%,"140,580,000",/market-activity/stocks/crt
CRTO,Criteo S.A. American Depositary Shares,$26.90,-0.16,-0.591%,"1,619,670,439",/market-activity/stocks/crto
CRUS,"Cirrus Logic, Inc. Common Stock",$74.22,-0.49,-0.656%,"4,086,597,806",/market-activity/stocks/crus
CRVL,CorVel Corp. Common Stock,$154.20,1.23,0.804%,"2,662,299,854",/market-activity/stocks/crvl
CRVS,"Corvus Pharmaceuticals, Inc. Common Stock",$0.90,-0.0322,-3.454%,"41,898,160",/market-activity/stocks/crvs
CRWD,"CrowdStrike Holdings, Inc. Class A Common Stock",$121.00,3.35,2.847%,"28,239,040,984",/market-activity/stocks/crwd
CRWS,Crown Crafts Inc Common Stock,$5.89,UNCH,--,"59,592,499",/market-activity/stocks/crws
CRZN,Corazon Capital V838 Monoceros Corp Class A Ordinary Shares,$10.02,-0.01,-0.10%,"255,258,248",/market-activity/stocks/crzn
CRZNW,Corazon Capital V838 Monoceros Corp Warrant,$0.058,0.038,190.00%,NA,/market-activity/stocks/crznw
CS,Credit Suisse Group American Depositary Shares,$3.0708,-0.2092,-6.378%,"9,988,173,548",/market-activity/stocks/cs
CSAN,Cosan S.A. ADS,$13.63,-0.20,-1.446%,"6,372,673,420",/market-activity/stocks/csan
CSBR,"Champions Oncology, Inc. Common Stock",$6.905,0.005,0.072%,"93,372,455",/market-activity/stocks/csbr
CSCO,"Cisco Systems, Inc. Common Stock (DE)",$50.20,0.48,0.965%,"206,226,773,763",/market-activity/stocks/csco
CSGP,"CoStar Group, Inc. Common Stock",$81.60,0.56,0.691%,"33,185,908,896",/market-activity/stocks/csgp
CSGS,"CSG Systems International, Inc. Common Stock",$62.15,0.31,0.501%,"1,958,062,661",/market-activity/stocks/csgs
CSII,"Cardiovascular Systems, Inc. Common Stock",$14.0292,0.0192,0.137%,"587,574,406",/market-activity/stocks/csii
CSIQ,Canadian Solar Inc. Common Shares (BC),$35.75,-0.10,-0.279%,"2,297,610,351",/market-activity/stocks/csiq
CSL,Carlisle Companies Incorporated Common Stock,$263.11,UNCH,--,"13,606,987,551",/market-activity/stocks/csl
CSLM,"Consilium Acquisition Corp I, Ltd. Class A Ordinary Share",$10.06,-0.05,-0.495%,"238,610,625",/market-activity/stocks/cslm
CSLMR,"Consilium Acquisition Corp I, Ltd. Right",$0.0559,0.0234,72.00%,NA,/market-activity/stocks/cslmr
CSLMW,"Consilium Acquisition Corp I, Ltd. Warrant",$0.025,-0.0025,-9.091%,NA,/market-activity/stocks/cslmw
CSPI,CSP Inc. Common Stock,$8.71,UNCH,--,"39,681,157",/market-activity/stocks/cspi
CSQ,Calamos Strategic Total Return Common Stock,$14.45,0.05,0.347%,"2,281,292,955",/market-activity/stocks/csq
CSR,D/B/A Centerspace Common Stock,$65.46,0.96,1.488%,"986,415,954",/market-activity/stocks/csr
CSR^C,"D/B/A Centerspace 6.625% Series C ",$25.00,0.3501,1.42%,NA,/market-activity/stocks/csr^c
CSSE,"Chicken Soup for the Soul Entertainment, Inc. Class A Common Stock",$6.6393,0.0793,1.209%,"83,979,828",/market-activity/stocks/csse
CSSEL,"Chicken Soup for the Soul Entertainment, Inc. Warrant",$0.0357,UNCH,--,NA,/market-activity/stocks/cssel
CSSEN,"Chicken Soup for the Soul Entertainment, Inc. 9.50% Notes due 2025",$25.45,-0.0217,-0.085%,NA,/market-activity/stocks/cssen
CSSEP,"Chicken Soup for the Soul Entertainment, Inc. 9.75% Series A Cumulative Redeemable Perpetual Preferred Stock",$23.30,-0.43,-1.812%,NA,/market-activity/stocks/cssep
CSTA,Constellation Acquisition Corp I Class A Ordinary Shares,$10.04,UNCH,--,"389,050,000",/market-activity/stocks/csta
CSTE,Caesarstone Ltd. Ordinary Shares,$6.25,-0.02,-0.319%,"215,640,488",/market-activity/stocks/cste
CSTL,"Castle Biosciences, Inc. Common Stock",$23.81,0.22,0.933%,"627,431,025",/market-activity/stocks/cstl
CSTM,Constellium SE Ordinary Shares (France),$12.60,0.15,1.205%,"1,818,200,059",/market-activity/stocks/cstm
CSTR,"CapStar Financial Holdings, Inc. Common Stock",$17.81,-0.09,-0.503%,"390,302,018",/market-activity/stocks/cstr
CSV,"Carriage Services, Inc. Common Stock",$24.59,-0.56,-2.227%,"361,837,129",/market-activity/stocks/csv
CSWC,Capital Southwest Corporation Common Stock,$18.36,0.22,1.213%,"588,520,657",/market-activity/stocks/cswc
CSWI,"CSW Industrials, Inc. Common Stock",$120.68,-0.27,-0.223%,"1,867,748,189",/market-activity/stocks/cswi
CSX,CSX Corporation Common Stock,$32.59,-0.10,-0.306%,"68,517,500,478",/market-activity/stocks/csx
CTA^A,E.I. du Pont de Nemours and Company Preferred Stock,$61.392,-0.098,-0.159%,NA,/market-activity/stocks/cta^a
CTA^B,E.I. du Pont de Nemours and Company Preferred Stock,$84.03,-0.97,-1.141%,NA,/market-activity/stocks/cta^b
CTAQ,Carney Technology Acquisition Corp. II Class A Common Stock,$10.04,-0.01,-0.10%,"514,173,500",/market-activity/stocks/ctaq
CTAQU,Carney Technology Acquisition Corp. II Units,$10.06,0.01,0.10%,NA,/market-activity/stocks/ctaqu
CTAQW,Carney Technology Acquisition Corp. II Warrant,$0.0532,0.0132,33.00%,NA,/market-activity/stocks/ctaqw
CTAS,Cintas Corporation Common Stock,$461.44,-0.34,-0.074%,"46,857,073,845",/market-activity/stocks/ctas
CTBB,Qwest Corporation 6.5% Notes due 2056,$19.24,0.32,1.691%,NA,/market-activity/stocks/ctbb
CTBI,"Community Trust Bancorp, Inc. Common Stock",$47.38,-0.53,-1.106%,"848,968,106",/market-activity/stocks/ctbi
CTDD,Qwest Corporation 6.75% Notes due 2057,$20.265,0.115,0.571%,NA,/market-activity/stocks/ctdd
CTG,"Computer Task Group, Inc. Common Stock",$7.48,-0.08,-1.058%,"117,529,133",/market-activity/stocks/ctg
CTGO,"Contango ORE, Inc. Common Stock",$22.9001,UNCH,--,"155,138,788",/market-activity/stocks/ctgo
CTHR,Charles & Colvard Ltd Common Stock,$0.905,0.0074,0.824%,"27,462,184",/market-activity/stocks/cthr
CTIB,Yunhong CTI Ltd. Common Stock,$0.74,-0.0901,-10.854%,"11,883,727",/market-activity/stocks/ctib
CTIC,CTI BioPharma Corp. (DE) Common Stock,$6.04,0.02,0.332%,"766,440,986",/market-activity/stocks/ctic
CTKB,"Cytek Biosciences, Inc. Common Stock",$13.10,0.21,1.629%,"1,766,579,003",/market-activity/stocks/ctkb
CTLP,"Cantaloupe, Inc. Common Stock",$3.55,-0.08,-2.204%,"252,824,362",/market-activity/stocks/ctlp
CTLT,"Catalent, Inc. Common Stock",$51.81,1.68,3.351%,"9,323,913,546",/market-activity/stocks/ctlt
CTM,"Castellum, Inc. Common Stock",$0.8775,0.0575,7.012%,"36,450,773",/market-activity/stocks/ctm
CTMX,"CytomX Therapeutics, Inc. Common Stock",$1.715,-0.025,-1.437%,"113,334,689",/market-activity/stocks/ctmx
CTO,"CTO Realty Growth, Inc. Common Stock",$19.42,-1.55,-7.392%,"365,096,194",/market-activity/stocks/cto
CTO^A,"CTO Realty Growth, Inc. 6.375% Series A Cumulative Redeemable Preferred Stock",$21.38,0.49,2.346%,NA,/market-activity/stocks/cto^a
CTOS,"Custom Truck One Source, Inc. Common Stock",$7.02,0.18,2.632%,"1,731,064,559",/market-activity/stocks/ctos
CTR,ClearBridge MLP and Midstream Total Return Fund Inc. Common Stock,$31.19,0.38,1.233%,"218,384,395",/market-activity/stocks/ctr
CTRA,Coterra Energy Inc. Common Stock,$28.041,0.131,0.469%,"22,109,412,989",/market-activity/stocks/ctra
CTRE,"CareTrust REIT, Inc. Common Stock",$20.01,0.21,1.061%,"1,941,545,127",/market-activity/stocks/ctre
CTRM,Castor Maritime Inc. Common Shares,$1.715,0.075,4.573%,"162,256,301",/market-activity/stocks/ctrm
CTRN,"Citi Trends, Inc. Common Stock",$29.775,-0.445,-1.473%,"249,496,992",/market-activity/stocks/ctrn
CTS,CTS Corporation Common Stock,$42.8325,0.3325,0.782%,"1,365,495,303",/market-activity/stocks/cts
CTSH,Cognizant Technology Solutions Corporation Class A Common Stock,$62.83,0.62,0.997%,"32,289,683,573",/market-activity/stocks/ctsh
CTSO,Cytosorbents Corporation Common Stock,$1.4101,0.0101,0.721%,"61,530,722",/market-activity/stocks/ctso
CTV,Innovid Corp. Common Stock,$2.815,-0.145,-4.899%,"376,226,380",/market-activity/stocks/ctv
CTVA,"Corteva, Inc. Common Stock ",$66.24,-0.92,-1.37%,"47,327,950,080",/market-activity/stocks/ctva
CTXR,"Citius Pharmaceuticals, Inc. Common Stock",$1.19,0.02,1.709%,"173,894,260",/market-activity/stocks/ctxr
CUBA,"Herzfeld Caribbean Basin Fund, Inc. (The) Common Stock",$4.07,0.05,1.244%,"26,167,072",/market-activity/stocks/cuba
CUBB,"Customers Bancorp, Inc 5.375% Subordinated Notes Due 2034",$20.28,0.0501,0.248%,NA,/market-activity/stocks/cubb
CUBE,CubeSmart Common Shares,$41.88,0.49,1.184%,"9,405,187,850",/market-activity/stocks/cube
CUBI,"Customers Bancorp, Inc Common Stock",$32.34,0.07,0.217%,"1,051,547,810",/market-activity/stocks/cubi
CUBI^E,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series E",$25.31,UNCH,--,NA,/market-activity/stocks/cubi^e
CUBI^F,"Customers Bancorp, Inc Fixed-to-Floating Rate Non-Cumulative Perpetual Preferred Stock, Series F",$25.18,0.03,0.119%,NA,/market-activity/stocks/cubi^f
CUE,"Cue Biopharma, Inc. Common Stock",$4.12,0.26,6.736%,"145,788,598",/market-activity/stocks/cue
CUEN,"Cuentas, Inc. Common Stock",$0.2908,-0.001,-0.343%,"4,862,377",/market-activity/stocks/cuen
CUENW,"Cuentas, Inc. Warrant",$0.09,0.0253,39.104%,NA,/market-activity/stocks/cuenw
CUK,Carnival Plc ADS ADS,$9.15,0.21,2.349%,"11,886,947,954",/market-activity/stocks/cuk
CULL,"Cullman Bancorp, Inc. Common Stock",$11.25,UNCH,--,"83,316,296",/market-activity/stocks/cull
CULP,"Culp, Inc. Common Stock",$5.09,-0.04,-0.78%,"62,478,661",/market-activity/stocks/culp
CURI,CuriosityStream Inc. Class A Common Stock,$1.3848,0.0448,3.343%,"73,125,908",/market-activity/stocks/curi
CURIW,CuriosityStream Inc. Warrant,$0.106,-0.004,-3.636%,NA,/market-activity/stocks/curiw
CURO,CURO Group Holdings Corp. Common Stock,$3.72,0.15,4.202%,"150,605,617",/market-activity/stocks/curo
CURV,Torrid Holdings Inc. Common Stock,$4.03,-0.03,-0.739%,"417,588,842",/market-activity/stocks/curv
CUTR,"Cutera, Inc. Common Stock",$48.92,1.34,2.816%,"959,589,184",/market-activity/stocks/cutr
CUZ,Cousins Properties Incorporated Common Stock,$26.67,0.29,1.099%,"4,038,752,274",/market-activity/stocks/cuz
CVAC,CureVac N.V. Ordinary Shares,$7.465,0.215,2.966%,"1,420,464,357",/market-activity/stocks/cvac
CVBF,CVB Financial Corporation Common Stock,$28.27,-0.41,-1.43%,"3,952,372,188",/market-activity/stocks/cvbf
CVCO,"Cavco Industries, Inc. Common Stock When Issued",$238.55,8.92,3.885%,"2,125,322,818",/market-activity/stocks/cvco
