"id","teamId","shirtNumber","position",positionAcronym,"fullName","dateOfBirth","height","weight","goals","penalty","yellowCards","redCards"
"SGO-38","SGO","38","Hậu vệ",DF,"Phạm Công Hiển","21-07-1992","161","49","0","0","0","0"
"SGO-39","SGO","39","Tiền vệ",MF,"Huỳnh Tấn Tài","17-08-1994","165","64","0","0","1","1"
"SGO-40","SGO","40","Hậu vệ",DF,"Ahn Byungkeon","08-09-1988","190","83","0","0","0","0"
"SGO-71","SGO","71","Hậu vệ",DF,"Nguyễn Công Thành","26-07-1991","175","66","0","0","0","0"
"SGO-73","SGO","73","Tiền vệ",MF,"Nguyễn Hồng Sơn","24-10-2000","167","65","0","0","0","0"
"SGO-77","SGO","77","Tiền vệ",MF,"Nguyễn Hữu Sơn","27-09-1996","170","65","0","0","0","0"
"DAN-1","DAN","1","Thủ môn",GK,"Phan Văn Biểu","12-03-1998","175","72","0","0","0","0"
"DAN-2","DAN","2","Hậu vệ",DF,"Nguyễn Sỹ Nam","07-03-1993","170","66","0","0","0","0"
"DAN-4","DAN","4","Hậu vệ",DF,"Memovic Damir","19-01-1989","196","91","0","0","0","0"
"DAN-5","DAN","5","Hậu vệ",DF,"Võ Hoàng Quảng","25-05-1987","174","77","0","0","0","0"
"DAN-6","DAN","6","Tiền vệ",MF,"Đặng Anh Tuấn","01-08-1994","173","66","1","0","1","0"
"DAN-7","DAN","7","Tiền vệ",MF,"A Mít","24-07-1997","170","65","0","0","0","0"
"DAN-8","DAN","8","Tiền vệ",MF,"Võ Ngọc Toàn","20-10-1994","171","65","0","0","0","0"
"DAN-9","DAN","9","Tiền đạo",ST,"Ighodaro Osaguona Christian","10-10-190","194",,"2","0","0","0"
"DAN-10","DAN","10","Tiền vệ",MF,"Kone Aboubakar Syriki","03-07-1990","185",,"0","0","0","0"
"DAN-11","DAN","11","Tiền đạo",ST,"Phan Văn Long","01-06-1996","178","61","0","0","1","0"
"DAN-12","DAN","12","Tiền vệ",MF,"Hoàng Minh Tâm","28-10-1990","170","68","0","0","1","0"
"DAN-13","DAN","13","Thủ môn",GK,"Nguyễn Thanh Bình","11-08-1987","185","80","0","0","0","0"
"DAN-15","DAN","15","Tiền vệ",MF,"Phạm Văn Hữu","03-06-2001",,,"0","0","0","0"
"DAN-17","DAN","17","Hậu vệ",DF,"Đặng Tuấn Nghĩa","11-04-1999","178","70","0","0","0","0"
"DAN-18","DAN","18","Tiền đạo",ST,"Phạm Đình Duy","02-04-2002",,,"0","0","0","0"
"DAN-19","DAN","19","Hậu vệ",DF,"Liễu Quang Vinh","30-05-1999","170","65","0","0","0","0"
"DAN-20","DAN","20","Hậu vệ",DF,"Lương Duy Cương","07-11-2001","180","73","0","0","0","0"
"DAN-21","DAN","21","Tiền vệ",MF,"Nguyễn Phi Hoàng","27-03-2003","172","62","0","0","0","0"
"DAN-22","DAN","22","Hậu vệ",DF,"Nguyễn Công Nhật","12-05-1993","173","63","0","0","0","0"
"DAN-23","DAN","23","Tiền vệ",MF,"Nguyễn Viết Thắng","23-05-1994","165","60","0","0","0","0"
"DAN-24","DAN","24","Tiền vệ",MF,"Nguyễn Trọng Nam","17-03-2002",,,"0","0","0","0"
"DAN-25","DAN","25","Tiền đạo",ST,"Đỗ Hữu Minh Quang","15-10-2000",,,"0","0","0","0"
"DAN-26","DAN","26","Thủ môn",GK,"Nguyễn Tuấn Mạnh","31-07-1990","181","78","0","0","0","0"
"DAN-29","DAN","29","Tiền vệ",MF,"Nguyễn Huy Hùng","02-03-1992","177","71","0","0","0","0"
"DAN-30","DAN","30","Thủ môn",GK,"Nguyễn Văn Tiến","30-04-2005",,,"0","0","0","0"
"DAN-37","DAN","37","Tiền vệ",MF,"Nguyễn Văn Ngọ","01-08-1991","170","63","0","0","0","0"
"DAN-39","DAN","39","Hậu vệ",DF,"Phan Đức Lễ","17-10-1993","177","68","0","0","0","0"
"DAN-43","DAN","43","Tiền vệ",MF,"Phạm Nguyên Sa","17-01-1989","172","68","0","0","0","0"
"DAN-54","DAN","54","Tiền vệ",MF,"Nguyễn Tài Lộc","16-12-1989","171","63","0","0","0","0"
"DAN-67","DAN","67","Hậu vệ",DF,"Lâm Quí","18-02-1997","175","70","0","0","1","0"
"DAN-73","DAN","73","Hậu vệ",DF,"Bùi Quang Huy","08-08-2001",,,"0","0","0","0"
"DAN-77","DAN","77","Tiền vệ",MF,"Võ Minh Đan","06-07-2002",,,"0","0","0","0"
"DAN-79","DAN","79","Tiền vệ",MF,"Trần Thanh Tài","19-09-2001",,,"0","0","0","0"
"DAN-97","DAN","97","Hậu vệ",DF,"Lâm Anh Quang","24-04-1991","180","68","0","0","0","0"
"DAN-99","DAN","99","Tiền vệ",MF,"Phùng Lê Cao Sơn","17-05-1999",,,"0","0","0","0"
"NAN-1","NAN","1","Thủ môn",GK,"Nguyễn Văn Việt","12-07-2002","180","70","0","0","0","0"
"NAN-2","NAN","2","Hậu vệ",DF,"Phạm Thế Nhật","15-02-1991","172","66","0","0","0","0"
"NAN-3","NAN","3","Hậu vệ",DF,"Quế Ngọc Hải","15-05-1993","180","72","1","0","1","0"
"NAN-4","NAN","4","Tiền vệ",MF,"Bùi Đình Châu","06-02-1996","168","65","0","0","1","0"
"NAN-5","NAN","5","Hậu vệ",DF,"Hoàng Văn Khánh","05-04-1995","180","75","0","0","1","0"
"NAN-6","NAN","6","Tiền vệ",MF,"Hồ Sỹ Sâm","02-09-1993","171","70","0","0","0","0"
"NAN-7","NAN","7","Tiền vệ",MF,"Phạm Xuân Mạnh","09-02-1996","174","68","1","0","0","0"
"NAN-8","NAN","8","Tiền đạo",ST,"Hồ Phúc Tịnh","28-08-1994","175","68","0","0","0","0"
"NAN-9","NAN","9","Tiền vệ",MF,"Nguyễn Trọng Hoàng","14-04-1989","169","68","0","0","0","0"
"NAN-10","NAN","10","Tiền đạo",ST,"Olaha Michael Onyedikachi","04-07-1997","180","72","0","0","0","0"
"NAN-14","NAN","14","Tiền vệ",MF,"Nguyễn Văn Việt","06-04-1999","173","60","0","0","0","0"
"NAN-15","NAN","15","Tiền vệ",MF,"Trần Đình Tiến","09-11-1998","170","65","0","0","0","0"
"NAN-16","NAN","16","Hậu vệ",DF,"Trần Đình Đồng","20-05-1987","172","68","0","0","0","0"
"NAN-18","NAN","18","Thủ môn",GK,"Nguyễn Văn Hoàng","17-02-1995","182","72","0","0","0","0"
"NAN-19","NAN","19","Hậu vệ",DF,"Trường An","30-12-1991","182","80","0","0","0","0"
"NAN-20","NAN","20","Tiền vệ",MF,"Phan Văn Đức","11-04-1996","170","64","1","0","0","0"
"NAN-21","NAN","21","Tiền đạo",ST,"Phan Xuân Đại","01-01-2003","173","65","0","0","0","0"
"NAN-22","NAN","22","Hậu vệ",DF,"Nguyễn Bá Đức","23-05-1998","177","66","0","0","0","0"
"NAN-23","NAN","23","Tiền vệ",MF,"Đinh Xuân Tiến","10-01-2003","171","65","0","0","0","0"
"NAN-24","NAN","24","Hậu vệ",DF,"Hồ Khắc Lương","10-01-2001","172","68","0","0","0","0"
"NAN-25","NAN","25","Thủ môn",GK,"Trần Văn Tiến","26-06-1994","184","70","0","0","0","0"
"NAN-26","NAN","26","Tiền vệ",MF,"Trần Mạnh Quỳnh","18-01-2001","170","65","0","0","0","0"
"NAN-27","NAN","27","Tiền vệ",MF,"Nguyễn Xuân Bình","24-05-2001","171","65","0","0","1","0"
"NAN-28","NAN","28","Thủ môn",GK,"Lê Văn Hùng","06-07-1992","180","68","0","0","0","0"
"NAN-29","NAN","29","Tiền vệ",MF,"Nguyễn Văn Bách","02-01-2003","172","66","0","0","1","0"
"NAN-30","NAN","30","Hậu vệ",DF,"Hồ Văn Cường","15-01-2003","167","63","0","0","0","0"
"NAN-37","NAN","37","Tiền vệ",MF,"Đặng Văn Lắm","06-12-1999","170","63","0","0","0","0"
"NAN-66","NAN","66","Hậu vệ",DF,"Trần Đình Hoàng","08-12-1991","174","68","0","0","0","0"
"NAN-79","NAN","79","Hậu vệ",DF,"Mai Sỹ Hoàng","01-01-1999","171","60","0","0","0","0"
"NAN-86","NAN","86","Hậu vệ",DF,"Thái Bá Sang","21-05-1999","176","65","0","0","1","0"
"NAN-90","NAN","90","Tiền vệ",MF,"O Ojong Mark Nkongho","25-04-1997","180","80","0","0","1","0"
"NAN-91","NAN","91","Tiền đạo",ST,"Oseni Ganiyu Bolaji","19-09-1991","178","75","0","0","0","0"
"BIDI-1","BIDI","1","Thủ môn",GK,"Võ Doãn Thục Kha","31-05-1991","173","74","0","0","0","0"
"BIDI-2","BIDI","2","Hậu vệ",DF,"Nguyễn Tiến Duy","29-04-1991","180","74","0","0","1","0"
"BIDI-3","BIDI","3","Hậu vệ",DF,"Dương Thanh Hào","23-06-1991","175","72","0","0","0","0"
"BIDI-4","BIDI","4","Hậu vệ",DF,"Hồ Tấn Tài","06-11-1997","180","77","0","0","0","0"
"BIDI-5","BIDI","5","Hậu vệ",DF,"Vũ Hữu Quý","10-02-1993","177","72","0","0","0","0"
"BIDI-6","BIDI","6","Hậu vệ",DF,"Đỗ Thanh Thịnh","18-08-1998","170","68","0","0","0","0"
"BIDI-7","BIDI","7","Tiền đạo",ST,"Nguyễn Xuân Nam","18-01-1994","180","75","0","0","1","0"
"BIDI-8","BIDI","8","Tiền vệ",MF,"Mạc Hồng Quân","1992","180","77","0","0","0","0"
"BIDI-9","BIDI","9","Tiền đạo",ST,"Rafaelson Bezerra Fernandes","30-03-1997","184","97","1","0","0","0"
"BIDI-10","BIDI","10","Tiền vệ",MF,"Hendrio Araujo Dasilva","16-05-1994","181","75","0","0","0","0"
"BIDI-11","BIDI","11","Tiền vệ",MF,"Lê Tiến Anh","23-03-1998","165","68","0","0","0","0"
"BIDI-12","BIDI","12","Tiền đạo",ST,"Jermie Dwayne Lynch","24-03-1991","186","78","1","0","0","0"
"BIDI-14","BIDI","14","Tiền vệ",MF,"Đỗ Văn Thuận","23-05-1992","167","70","0","0","0","0"
"BIDI-17","BIDI","17","Hậu vệ",DF,"Lê Ngọc Bảo","29-03-1998","177","75","0","0","0","0"
"BIDI-18","BIDI","18","Tiền đạo",ST,"Hà Đức Chinh","22-09-1997","175","75","0","0","0","0"
"BIDI-19","BIDI","19","Hậu vệ",DF,"Adriano Schmidt","09-05-1994","185","79","0","0","0","0"
"BIDI-20","BIDI","20","Hậu vệ",DF,"Nguyễn Huỳnh Hữu An","16-03-1997","170","65","0","0","0","0"
"BIDI-21","BIDI","21","Hậu vệ",DF,"Trần Đình Trọng","25-04-1997","174","70","0","0","0","0"
"BIDI-22","BIDI","22","Tiền vệ",MF,"Trần Văn Trung","27-01-1998","167","60","0","0","0","0"
"BIDI-23","BIDI","23","Thủ môn",GK,"Vũ Tuyên Quang","05-07-1995","183","62","0","0","0","0"
"BIDI-24","BIDI","24","Thủ môn",GK,"Nguyễn Mạnh Cường","03-09-1997","183","82","0","0","0","0"
"BIDI-26","BIDI","26","Thủ môn",GK,"Trần Đình Minh Hoàng","08-01-1993","177","70","0","0","0","0"
"BIDI-28","BIDI","28","Tiền vệ",MF,"Lý Công Hoàng Anh","01-09-1999","165","67","0","0","0","0"
"BIDI-29","BIDI","29","Hậu vệ",DF,"Phạm Văn Nam","14-01-1992","177","68","0","0","0","0"
"BIDI-30","BIDI","30","Hậu vệ",DF,"Vũ Viết Triều","23-02-1997","181","74","0","0","0","0"
"BIDI-31","BIDI","31","Tiền vệ",MF,"Phan Ngọc Tín","09-03-2004","175","67","0","0","0","0"
"BIDI-32","BIDI","32","Hậu vệ",DF,"Trần Văn Thái","04-09-2001","175","67","0","0","0","0"
"BIDI-33","BIDI","33","Tiền đạo",ST,"Đào Gia Việt","20-06-2003","180","74","0","0","0","0"
"BIDI-77","BIDI","77","Tiền vệ",MF,"Nghiêm Xuân Tú","28-08-1988","174","67","0","0","0","0"
"BIDI-88","BIDI","88","Tiền vệ",MF,"Phạm Văn Thành","16-03-1994","173","71","0","0","0","0"
"BIDI-91","BIDI","91","Tiền đạo",ST,"Lê Thanh Bình","08-08-1995","176","69","0","0","0","0"
"BIDI-98","BIDI","98","Tiền vệ",MF,"Đặng Văn Trâm","02-01-1995","167","62","0","0","1","0"
"HCM-1","HCM","1","Thủ môn",GK,"Nguyễn Thanh Thắng","14-12-1988","172","65","0","0","0","0"
"HCM-2","HCM","2","Hậu vệ",DF,"Ngô Tùng Quốc","27-01-1998","172","63","0","0","1","0"
"HCM-3","HCM","3","Hậu vệ",DF,"Dương Văn Khoa","06-05-1994","170","60","0","0","1","0"
"HCM-4","HCM","4","Hậu vệ",DF,"Nguyễn Tăng Tiến","31-01-1994","178","73","0","0","0","0"
"HCM-6","HCM","6","Tiền vệ",MF,"Võ Ngọc Tỉnh","19-11-1997","165","65","0","0","0","0"
"HCM-7","HCM","7","Hậu vệ",DF,"Sầm Ngọc Đức","18-05-1992","172","68","0","0","0","0"
"HCM-8","HCM","8","Tiền vệ",MF,"Trần Thanh Bình","22-12-1993","165","64","0","0","0","0"
"HCM-9","HCM","9","Tiền vệ",MF,"Ngô Hoàng Thịnh","21-04-1992","177","71","0","0","1","0"
"HCM-10","HCM","10","Tiền vệ",MF,"Cosendey Lopo Pinto Bruno","25-01-1997","185","75","0","0","0","0"
"HCM-11","HCM","11","Tiền vệ",MF,"Phạm Trùm Tỉnh","02-05-1995","165","60","0","0","0","0"
"HCM-12","HCM","12","Hậu vệ",DF,"Bùi Văn Đức","15-03-1997","175","72","0","0","0","0"
"HCM-14","HCM","14","Tiền vệ",MF,"Phù Trung Phong","08-06-1998","170","75","0","0","0","0"
"HCM-16","HCM","16","Tiền vệ",MF,"Võ Huy Toàn","15-03-1993","168","65","1","0","0","0"
"HCM-17","HCM","17","Tiền vệ",MF,"Lâm Ti Phông","01-02-1996","170","69","0","0","0","0"
"HCM-18","HCM","18","Tiền vệ",MF,"Chu Văn Kiên","12-05-1998","165","62","0","0","0","0"
"HCM-20","HCM","20","Hậu vệ",DF,"Trần Đình Bảo","18-06-1997","175","74","0","0","0","0"
"HCM-21","HCM","21","Tiền vệ",MF,"Đào Quốc Gia","25-08-1996","177","70","0","0","0","0"
"HCM-23","HCM","23","Hậu vệ",DF,"Trần Đình Khương","10-01-1996","175","70","0","0","1","0"
"HCM-25","HCM","25","Thủ môn",GK,"Phạm Văn Cường","19-07-1990","175","72","0","0","0","0"
"HCM-26","HCM","26","Hậu vệ",DF,"Thân Thành Tín","30-05-1993","173","70","0","0","0","0"
"HCM-27","HCM","27","Tiền vệ",MF,"Nguyễn Đoàn Duy Anh","01-07-1995","165","62","0","0","0","0"
"HCM-28","HCM","28","Thủ môn",GK,"Bùi Tiến Dũng","28-01-1997","178","75","0","0","0","0"
"HCM-29","HCM","29","Tiền vệ",MF,"Nguyễn Trọng Long","06-01-2000","170","68","0","0","0","0"
"HCM-30","HCM","30","Tiền đạo",ST,"Hồ Tuấn Tài","16-03-1995","172","68","0","0","0","0"
"HCM-39","HCM","39","Tiền đạo",ST,"Hoàng Vũ Olaleye Samson","06-10-1988","180","73","0","0","0","0"
"HCM-43","HCM","43","Hậu vệ",DF,"Da Silva Estevam Brendon Lucas","20-05-1995","188","80","0","0","0","0"
"HCM-62","HCM","62","Hậu vệ",DF,"Phạm Hoàng Lâm","06-03-1993","180","75","0","0","0","0"
"HCM-91","HCM","91","Tiền đạo",ST,"Mauricio Plenckauskas Cordeiro","1992","189","77","0","0","0","0"
"VTL-1","VTL","1","Thủ môn",GK,"Ngô Xuân Sơn","17-01-1997","177","75","0","0","0","0"
"VTL-3","VTL","3","Hậu vệ",DF,"Nguyễn Thanh Bình","02-11-2000","180","78","0","0","0","0"
"VTL-4","VTL","4","Hậu vệ",DF,"Bùi Tiến Dũng","02-10-1995","172","69","1","0","2","0"
"VTL-5","VTL","5","Hậu vệ",DF,"Trương Văn Thiết","07-06-1995","177","68","0","0","1","0"
"VTL-6","VTL","6","Tiền vệ",MF,"Đinh Tuấn Tài","08-05-1999","173","70","0","0","0","0"
"VTL-7","VTL","7","Tiền đạo",ST,"Venancio Caique","12-07-1993","186","86","0","0","0","0"
"VTL-8","VTL","8","Tiền vệ",MF,"Nguyễn Hữu Thắng","19-05-2000","168","63","0","0","0","0"
"VTL-9","VTL","9","Tiền vệ",MF,"Trần Ngọc Sơn","29-10-1996","168","65","0","0","0","0"
"VTL-10","VTL","10","Tiền đạo",ST,"Pedro Paulo Alves Vieira Dos Reis","10-02-1994","186","78","1","0","0","0"
"VTL-11","VTL","11","Tiền vệ",MF,"Abdumuminov Jakhongir","09-02-1993","185","75","0","0","1","0"
"VTL-12","VTL","12","Tiền vệ",MF,"Hồ Khắc Ngọc","02-08-1992","166","66","0","0","1","0"
"VTL-14","VTL","14","Tiền vệ",MF,"Bùi Quang Khải","19-05-1993","170","63","0","0","0","0"
"VTL-15","VTL","15","Tiền vệ",MF,"Nguyễn Xuân Kiên","04-01-2000","170","66","0","0","0","0"
"VTL-16","VTL","16","Hậu vệ",DF,"Tống Văn Hợp","10-02-1999","170","68","0","0","0","0"
"VTL-17","VTL","17","Tiền vệ",MF,"Nguyễn Đức Hoàng Minh","20-02-1998","166","62","0","0","0","0"
"VTL-18","VTL","18","Tiền đạo",ST,"Trần Hoàng Sơn","31-03-1997","180","74","0","0","0","0"
"VTL-19","VTL","19","Tiền đạo",ST,"Trần Danh Trung","03-10-2000","176","76","0","0","0","0"
"VTL-20","VTL","20","Hậu vệ",DF,"Cao Trần Hoàng Hùng","04-04-1999","178","76","0","0","0","0"
"VTL-21","VTL","21","Tiền vệ",MF,"Nguyễn Đức Chiến","24-08-1998","180","77","0","0","0","0"
"VTL-22","VTL","22","Tiền đạo",ST,"Nguyễn Sĩ Chiến","02-05-1999","175","68","0","0","0","0"
"VTL-25","VTL","25","Thủ môn",GK,"Quàng Thế Tài","10-09-1996","178","76","0","0","0","0"
"VTL-26","VTL","26","Thủ môn",GK,"Trần Nguyên Mạnh","20-12-1991","178","75","0","0","0","0"
"VTL-28","VTL","28","Tiền đạo",ST,"Nguyễn Hoàng Đức","11-01-1998","183","74","0","0","0","0"
"VTL-29","VTL","29","Tiền vệ",MF,"Trương Tiến Anh","25-4-1999","168","68","0","0","1","0"
"VTL-33","VTL","33","Tiền đạo",ST,"Dương Văn Hào","15-02-1997","177","76","0","0","0","0"
"VTL-77","VTL","77","Tiền vệ",MF,"Nguyễn Trọng Đại","07-04-1997","184","76","0","0","0","0"
"VTL-88","VTL","88","Hậu vệ",DF,"Bùi Duy Thường","05-04-1996","167","63","0","0","1","0"
"VTL-94","VTL","94","Tiền đạo",ST,"Geovane Mango","14-04-1994","188","75","2","0","1","0"
"VTL-99","VTL","99","Tiền đạo",ST,"Nhâm Mạnh Dũng","12-04-2000","178","77","0","0","0","0"
