ace_mode,aliases,codemirror_mime_type,codemirror_mode,color,extensions,filenames,fs_name,group,interpreters,language,language_id,searchable,tm_scope,type,wrap
"text","","","","#FEFE00",".thy","","","","","Isabelle","170","","source.isabelle.theory","programming",""
"text","","","","#FEFE00","","ROOT","","Isabelle","","Isabelle ROOT","171","","source.isabelle.root","programming",""
"text","","","","#9EEDFF",".ijs","","","","jconsole","J","172","","source.j","programming",""
"text","","","","#b07219","","MANIFEST.MF","","","","JAR Manifest","447261135","","source.yaml","data",""
"text","","","","#DBCA00",".flex,.jflex","","","Lex","","JFlex","173","","source.jflex","programming",""
"json","geojson,jsonl,topojson","application/json","javascript","#292929",".json,.4DForm,.4DProject,.avsc,.geojson,.gltf,.har,.ice,.JSON-tmLanguage,.jsonl,.mcmeta,.tfstate,.tfstate.backup,.topojson,.webapp,.webmanifest,.yy,.yyp",".arcconfig,.auto-changelog,.c8rc,.htmlhintrc,.imgbotconfig,.nycrc,.tern-config,.tern-project,.watchmanconfig,Pipfile.lock,composer.lock,mcmod.info","","","","JSON","174","","source.json","data",""
"javascript","jsonc","text/javascript","javascript","#292929",".jsonc,.code-snippets,.sublime-build,.sublime-commands,.sublime-completions,.sublime-keymap,.sublime-macro,.sublime-menu,.sublime-mousemap,.sublime-project,.sublime-settings,.sublime-theme,.sublime-workspace,.sublime_metrics,.sublime_session",".babelrc,.devcontainer.json,.eslintrc.json,.jscsrc,.jshintrc,.jslintrc,api-extractor.json,devcontainer.json,jsconfig.json,language-configuration.json,tsconfig.json,tslint.json","","JSON","","JSON with Comments","423","","source.js","data",""
"javascript","","application/json","javascript","#267CB9",".json5","","","","","JSON5","175","","source.js","data",""
"javascript","","application/json","javascript","#0c479c",".jsonld","","","","","JSONLD","176","","source.js","data",""
"jsoniq","","application/json","javascript","#40d47e",".jq","","","","","JSONiq","177","","source.jsoniq","programming",""
"scheme","","text/x-scheme","scheme","#0886a5",".janet","","","","janet","Janet","1028705371","","source.janet","programming",""
"java","","","","#d03600",".j","","","","","Jasmin","180","","source.jasmin","programming",""
"java","","text/x-java","clike","#b07219",".java,.jav","","","","","Java","181","","source.java","programming",""
"properties","","text/x-properties","properties","#2A6277",".properties","","","","","Java Properties","519377561","","source.java-properties","data",""
"jsp","jsp","application/x-jsp","htmlembedded","#2A6277",".jsp,.tag","","","Java","","Java Server Pages","182","","text.html.jsp","programming",""
"javascript","js,node","text/javascript","javascript","#f1e05a",".js,._js,.bones,.cjs,.es,.es6,.frag,.gs,.jake,.javascript,.jsb,.jscad,.jsfl,.jslib,.jsm,.jspre,.jss,.jsx,.mjs,.njs,.pac,.sjs,.ssjs,.xsjs,.xsjslib","Jakefile","","","chakra,d8,gjs,js,node,nodejs,qjs,rhino,v8,v8-shell","JavaScript","183","","source.js","programming",""
"javascript","","application/javascript","javascript","#f1e05a",".js.erb","","","JavaScript","","JavaScript+ERB","914318960","","source.js","programming",""
"javascript","","application/javascript","javascript","#15c213",".snap","","","","","Jest Snapshot","774635084","","source.jest.snap","data",""
"xml","mps","text/xml","xml","#21D789",".mps,.mpl,.msd","","","","","JetBrains MPS","465165328","","none","programming",""
"django","django,html+django,html+jinja,htmldjango","text/x-django","django","#a52a22",".jinja,.j2,.jinja2","","","","","Jinja","147","","text.html.django","markup",""
"text","","","","#56b3cb",".jison","","","Yacc","","Jison","284531423","","source.jison","programming",""
"text","","","","#56b3cb",".jisonlex","","","Lex","","Jison Lex","406395330","","source.jisonlex","programming",""
"text","","","","#843179",".ol,.iol","","","","jolie","Jolie","998078858","","source.jolie","programming",""
"text","","","","#0064bd",".jsonnet,.libsonnet","","","","","Jsonnet","664885656","","source.jsonnet","programming",""
"julia","","text/x-julia","julia","#a270ba",".jl","","","","julia","Julia","184","","source.julia","programming",""
"json","IPython Notebook","application/json","javascript","#DA5B0B",".ipynb","Notebook","","","","Jupyter Notebook","185","","source.json","markup",""
"text","","","","#28430A",".krl","","","","","KRL","186","","none","programming",""
"yaml","ksy","text/x-yaml","yaml","#773b37",".ksy","","","","","Kaitai Struct","818804755","","source.yaml","programming",""
"text","kak,kakscript","","","#6f8042",".kak","kakrc","","","","KakouneScript","603336474","","source.kakscript","programming",""
"lisp","pcbnew","text/x-common-lisp","commonlisp","#2f4aab",".kicad_pcb,.kicad_mod,.kicad_wks","fp-lib-table","","","","KiCad Layout","187","","source.pcb.sexp","data",""
"text","","","","#2f4aab",".brd","","","","","KiCad Legacy Layout","140848857","","source.pcb.board","data",""
"text","eeschema schematic","","","#2f4aab",".kicad_sch,.sch","","","","","KiCad Schematic","622447435","","source.pcb.schematic","data",""
"html","","text/html","htmlmixed","",".kit","","","","","Kit","188","","text.html.basic","markup",""
"text","","text/x-kotlin","clike","#A97BFF",".kt,.ktm,.kts","","","","","Kotlin","189","","source.kotlin","programming",""
"text","","","","",".csl,.kql","","","","","Kusto","225697190","","source.kusto","data",""
"lisp","","text/x-common-lisp","commonlisp","#4C3023",".lfe","","","","","LFE","190","","source.lisp","programming",""
"text","","","","#185619",".ll","","","","","LLVM","191","","source.llvm","programming",""
"text","","","","#cc9900",".lol","","","","","LOLCODE","192","","none","programming",""
"lsl","","","","#3d9970",".lsl,.lslp","","","","lsl","LSL","193","","source.lsl","programming",""
"text","","text/x-spreadsheet","spreadsheet","",".asy","","","","","LTspice Symbol","1013566805","","source.ltspice.symbol","data",""
"xml","","text/xml","xml","#fede06",".lvproj,.lvclass,.lvlib","","","","","LabVIEW","194","","text.xml","programming",""
"text","","text/x-ebnf","ebnf","#2980B9",".lark","","","","","Lark","758480799","","source.lark","data",""
"text","lassoscript","","","#999999",".lasso,.las,.lasso8,.lasso9","","","","","Lasso","195","","file.lasso","programming",""
"smarty","","text/x-smarty","smarty","#f2a542",".latte","","","","","Latte","196","","text.html.smarty","markup",""
"text","","","","",".lean,.hlean","","","","","Lean","197","","source.lean","programming",""
"less","less-css","text/css","css","#1d365d",".less","","","","","Less","198","","source.css.less","markup",""
"text","flex","","","#DBCA00",".l,.lex","Lexer.x,lexer.x","","","","Lex","199","","source.lex","programming",""
"pascal","","text/x-pascal","pascal","#0e74ff",".ligo","","","LigoLANG","","LigoLANG","1040646257","","source.ligo","programming",""
"text","","","","#9ccc7c",".ly,.ily","","","","","LilyPond","200","","source.lilypond","programming",""
"text","","","","",".b,.m","","","","","Limbo","201","","none","programming",""
"text","","","","",".ld,.lds,.x","ld.script","","","","Linker Script","202","","none","data",""
"text","","","","",".mod","","","","","Linux Kernel Module","203","","none","data",""
"liquid","","","","#67b8de",".liquid","","","","","Liquid","204","","text.html.liquid","markup",""
"text","","","","#315665",".lagda","","","Agda","","Literate Agda","205","","none","programming",""
"text","litcoffee","","","#244776",".litcoffee,.coffee.md","","","CoffeeScript","","Literate CoffeeScript","206","","source.litcoffee","programming","true"
"text","lhaskell,lhs","text/x-literate-haskell","haskell-literate","#5e5086",".lhs","","","Haskell","","Literate Haskell","207","","text.tex.latex.haskell","programming",""
"livescript","live-script,ls","text/x-livescript","livescript","#499886",".ls,._ls","Slakefile","","","","LiveScript","208","","source.livescript","programming",""
"text","","","","",".xm,.x,.xi","","","","","Logos","209","","source.logos","programming",""
"text","","","","#295b9a",".lgt,.logtalk","","","","","Logtalk","210","","source.logtalk","programming",""
"yaml","","text/x-yaml","yaml","#652B81",".lookml,.model.lkml,.view.lkml","","","","","LookML","211","","source.yaml","programming",""
"text","","","","",".ls","","","","","LoomScript","212","","source.loomscript","programming",""
"lua","","text/x-lua","lua","#000080",".lua,.fcgi,.nse,.p8,.pd_lua,.rbxs,.rockspec,.wlua",".luacheckrc","","","lua","Lua","213","","source.lua","programming",""
"text","mumps","text/x-mumps","mumps","",".mumps,.m","","","","","M","214","","none","programming",""
"text","","","","",".m4,.mc","","","","","M4","215","","source.m4","programming",""
"text","autoconf","","","",".m4","configure.ac","","M4","","M4Sugar","216","","source.m4","programming",""
"matlab","octave","text/x-octave","octave","#e16737",".matlab,.m","","","","","MATLAB","225","","source.matlab","programming",""
"text","","","","#00a6a6",".ms,.mcr","","","","","MAXScript","217","","source.maxscript","programming",""
"text","","","","#5EC8DB",".mlir","","","","","MLIR","448253929","","source.mlir","programming",""
"c_cpp","","","","#62A8D6",".mq4,.mqh","","","","","MQL4","426","","source.mql5","programming",""
"c_cpp","","","","#4A76B8",".mq5,.mqh","","","","","MQL5","427","","source.mql5","programming",""
"html","","text/html","htmlmixed","#b7e1f4",".mtml","","","","","MTML","218","","text.html.basic","markup",""
"forth","","text/x-forth","forth","",".muf,.m","","","Forth","","MUF","219","","none","programming",""
"text","m2","","","#d8ffff",".m2","","","","M2","Macaulay2","34167825","","source.m2","programming",""
"makefile","bsdmake,make,mf","text/x-cmake","cmake","#427819",".mak,.d,.make,.makefile,.mk,.mkfile","BSDmakefile,GNUmakefile,Kbuild,Makefile,Makefile.am,Makefile.boot,Makefile.frag,Makefile.in,Makefile.inc,Makefile.wat,makefile,makefile.sco,mkfile","","","make","Makefile","220","","source.makefile","programming",""
"text","","","","#7e858d",".mako,.mao","","","","","Mako","221","","text.html.mako","programming",""
"markdown","pandoc","text/x-gfm","gfm","#083fa1",".md,.livemd,.markdown,.mdown,.mdwn,.mdx,.mkd,.mkdn,.mkdown,.ronn,.scd,.workbook","contents.lr","","","","Markdown","222","","source.gfm","prose","true"
"text","markojs","text/html","htmlmixed","#42bff2",".marko","","","","","Marko","932782397","","text.marko","markup",""
"mask","","","","#f97732",".mask","","","","","Mask","223","","source.mask","markup",""
"text","mma,wolfram,wolfram language,wolfram lang,wl","text/x-mathematica","mathematica","#dd1100",".mathematica,.cdf,.m,.ma,.mt,.nb,.nbp,.wl,.wlt","","","","","Mathematica","224","","source.mathematica","programming",""
"xml","","text/xml","xml","","","pom.xml","","XML","","Maven POM","226","","text.xml.pom","data",""
"json","max/msp,maxmsp","application/json","javascript","#c4a79c",".maxpat,.maxhelp,.maxproj,.mxt,.pat","","","","","Max","227","","source.json","programming",""
"prolog","","","","#ff2b2b",".m,.moo","","","","mmi","Mercury","229","","source.mercury","programming",""
"text","","","","#007800","","meson.build,meson_options.txt","","","","Meson","799141244","","source.meson","programming",""
"c_cpp","","text/x-c++src","clike","#8f14e9",".metal","","","","","Metal","230","","source.c++","programming",""
"text","","","","",".dsp","","","","","Microsoft Developer Studio Project","800983837","","none","data",""
"text","","","","",".sln","","","","","Microsoft Visual Studio Solution","849523096","","source.solution","data",""
"text","","","","",".minid","","","","","MiniD","231","","none","programming",""
"yaml","","text/x-yaml","yaml","#ff1111",".yaml","","","","","MiniYAML","4896465","","source.miniyaml","data",""
"text","","","","#02b046",".mint","","","","","Mint","968740319","","source.mint","programming",""
"ruby","","text/x-ruby","ruby","#c7a938",".druby,.duby,.mirah","","","","","Mirah","232","","source.ruby","programming",""
"text","","text/x-modelica","modelica","#de1d31",".mo","","","","","Modelica","233","","source.modelica","programming",""
"text","","","","#10253f",".mod","","","","","Modula-2","234","","source.modula2","programming",""
"text","","","","#223388",".i3,.ig,.m3,.mg","","","","","Modula-3","564743864","","source.modula-3","programming",""
"text","","","","",".mms,.mmk","descrip.mmk,descrip.mms","","","","Module Management System","235","","none","programming",""
"text","","","","",".monkey,.monkey2","","","","","Monkey","236","","source.monkey","programming",""
"c_cpp","","text/x-csrc","clike","#8D6747",".mc","","","","","Monkey C","231751931","","source.mc","programming",""
"text","","","","",".moo","","","","","Moocode","237","","none","programming",""
"text","","","","#ff4585",".moon","","","","moon","MoonScript","238","","source.moonscript","programming",""
"text","","","","#fbb03b",".mo","","","","","Motoko","202937027","","source.mo","programming",""
"assembly_x86","m68k","","","#005daa",".asm,.i,.inc,.s,.x68","","","Assembly","","Motorola 68K Assembly","477582706","","source.m68k","programming",""
"text","","","","#4a137a",".move","","","","","Move","638334599","","source.move","programming",""
"text","amusewiki,emacs muse","","","",".muse","","","","","Muse","474864066","","text.muse","prose","true"
"smarty","","text/x-smarty","smarty","#724b3b",".mustache","","","","","Mustache","638334590","","text.html.smarty","markup",""
"text","","","","",".myt","","","","","Myghty","239","","none","programming",""
"text","","","","",".nasl,.inc","","","","","NASL","171666519","","source.nasl","programming",""
"text","","","","#28431f",".ncl","","","","","NCL","240","","source.ncl","programming",""
"text","nette object notation,ne-on","","","",".neon","","","","","NEON","481192983","","source.neon","data",""
"text","","","","",".nl","","","","","NL","241","","none","data",""
"text","npmrc","","","#cb3837","",".npmrc","","INI","","NPM Config","685022663","","source.ini.npmrc","data",""
"text","","text/x-nsis","nsis","",".nsi,.nsh","","","","","NSIS","242","","source.nsis","programming",""
"c_cpp","","text/x-csrc","clike","#111522",".nss","","","","","NWScript","731233819","","source.c.nwscript","programming",""
"text","","","","#1d2c4e",".nas","","","","","Nasal","178322513","","none","programming",""
"text","","","","#990000",".ne,.nearley","","","","","Nearley","521429430","","source.ne","programming",""
"text","","","","#3d3c6e",".n","","","","","Nemerle","243","","source.nemerle","programming",""
"text","","","","#0aa0ff",".axs,.axi","","","","","NetLinx","244","","source.netlinx","programming",""
"text","","","","#747faa",".axs.erb,.axi.erb","","","","","NetLinx+ERB","245","","source.netlinx.erb","programming",""
"lisp","","text/x-common-lisp","commonlisp","#ff6375",".nlogo","","","","","NetLogo","246","","source.lisp","programming",""
"lisp","","text/x-common-lisp","commonlisp","#87AED7",".nl,.lisp,.lsp","","","","newlisp","NewLisp","247","","source.lisp","programming",""
"groovy","","","","#3ac486",".nf","nextflow.config","","","nextflow","Nextflow","506780613","","source.nextflow","programming",""
"text","nginx configuration file","text/x-nginx-conf","nginx","#009639",".nginx,.nginxconf,.vhost","nginx.conf","","","","Nginx","248","","source.nginx","data",""
"text","","","","#ffc200",".nim,.nim.cfg,.nimble,.nimrod,.nims","nim.cfg","","","","Nim","249","","source.nim","programming",""
"text","","","","",".ninja","","","","","Ninja","250","","source.ninja","data",""
"text","","","","#009917",".nit","","","","","Nit","251","","source.nit","programming",""
"nix","nixos","","","#7e7eff",".nix","","","","","Nix","252","","source.nix","programming",""
"scheme","nush","text/x-scheme","scheme","#c9df40",".nu","Nukefile","","","nush","Nu","253","","source.nu","programming",""
"text","","text/x-python","python","#9C8AF9",".numpy,.numpyw,.numsc","","","Python","","NumPy","254","","none","programming",""
"nunjucks","njk","","","#3d8137",".njk","","","","","Nunjucks","461856962","","text.html.nunjucks","markup",""
"ocaml","","text/x-ocaml","mllike","#3be133",".ml,.eliom,.eliomi,.ml4,.mli,.mll,.mly","","","","ocaml,ocamlrun,ocamlscript","OCaml","255","","source.ocaml","programming",""
"assembly_x86","","","","",".objdump","","","","","ObjDump","256","","objdump.x86asm","data",""
"text","","","","",".odin","","","","","Object Data Instance Notation","985227236","","source.odin-ehr","data",""
"text","","","","#424893",".cls","","","","","ObjectScript","202735509","","source.objectscript","programming",""
"objectivec","obj-c,objc,objectivec","text/x-objectivec","clike","#438eff",".m,.h","","","","","Objective-C","257","","source.objc","programming",""
"objectivec","obj-c++,objc++,objectivec++","text/x-objectivec","clike","#6866fb",".mm","","","","","Objective-C++","258","","source.objc++","programming",""
"text","obj-j,objectivej,objj","","","#ff0c5a",".j,.sj","","","","","Objective-J","259","","source.js.objj","programming",""
"text","odinlang,odin-lang","","","#60AFFE",".odin","","","","","Odin","889244082","","source.odin","programming",""
"text","","","","#cabbff",".omgrofl","","","","","Omgrofl","260","","none","programming",""
"text","","","","",".opa","","","","","Opa","261","","source.opa","programming",""
"text","","","","#f7ede0",".opal","","","","","Opal","262","","source.opal","programming",""
"text","","","","#7d9199",".rego","","","","","Open Policy Agent","840483232","","source.rego","programming",""
"c_cpp","","text/x-csrc","clike","#ed2e2d",".cl,.opencl","","","C","","OpenCL","263","","source.c","programming",""
"text","progress,openedge,abl","","","#5ce600",".p,.cls,.w","","","","","OpenEdge ABL","264","","source.abl","programming",""
"text","","","","#AA70FF",".qasm","","","","","OpenQASM","153739399","","source.qasm","programming",""
"sh","openrc","text/x-sh","shell","","","","","Shell","openrc-run","OpenRC runscript","265","","source.shell","programming",""
"scad","","","","#e5cd45",".scad","","","","","OpenSCAD","266","","source.scad","programming",""
"text","","","","",".plist,.glyphs","","","","","OpenStep Property List","598917541","","source.plist","data",""
"text","AFDKO","","","",".fea","","","","","OpenType Feature File","374317347","","source.opentype","data",""
"text","","","","#77aa99",".org","","","","","Org","267","","none","prose","true"
"text","","","","",".ox,.oxh,.oxo","","","","","Ox","268","","source.ox","programming",""
"text","","","","#cdd0e3",".oxygene","","","","","Oxygene","269","","none","programming",""
"text","","text/x-oz","oz","#fab738",".oz","","","","","Oz","270","","source.oz","programming",""
"text","","","","#7055b5",".p4","","","","","P4","348895984","","source.p4","programming",""
"javascript","","text/javascript","javascript","#234d6b",".pegjs","","","","","PEG.js","81442128","","source.pegjs","programming",""
"php","inc","application/x-httpd-php","php","#4F5D95",".php,.aw,.ctp,.fcgi,.inc,.php3,.php4,.php5,.phps,.phpt",".php,.php_cs,.php_cs.dist,Phakefile","","","php","PHP","272","","text.html.php","programming",""
"sql","","text/x-plsql","sql","#dad8d8",".pls,.bdy,.ddl,.fnc,.pck,.pkb,.pks,.plb,.plsql,.prc,.spc,.sql,.tpb,.tps,.trg,.vw","","","","","PLSQL","273","","none","programming",""
"pgsql","","text/x-sql","sql","#336790",".pgsql,.sql","","","","","PLpgSQL","274","","source.sql","programming",""
"text","pov-ray,povray","","","#6bac65",".pov,.inc","","","","","POV-Ray SDL","275","","source.pov-ray sdl","programming",""
"text","","","","#cc0000",".pan","","","","","Pan","276","","source.pan","programming",""
"text","","","","#6600cc",".psc","","","","","Papyrus","277","","source.papyrus.skyrim","programming",""
"text","","","","#f3ca0a",".parrot","","","","","Parrot","278","","none","programming",""
"text","pasm","","","",".pasm","","","Parrot","parrot","Parrot Assembly","279","","none","programming",""
"text","pir","","","",".pir","","","Parrot","parrot","Parrot Internal Representation","280","","source.parrot.pir","programming",""
"pascal","delphi,objectpascal","text/x-pascal","pascal","#E3F171",".pas,.dfm,.dpr,.inc,.lpr,.pascal,.pp","","","","instantfpc","Pascal","281","","source.pascal","programming",""
"text","","","","#dbb284",".pwn,.inc,.sma","","","","","Pawn","271","","source.pawn","programming",""
"text","","","","#C76F5B",".pep","","","","","Pep8","840372442","","source.pep8","programming",""
"perl","cperl","text/x-perl","perl","#0298c3",".pl,.al,.cgi,.fcgi,.perl,.ph,.plx,.pm,.psgi,.t","Makefile.PL,Rexfile,ack,cpanfile","","","cperl,perl","Perl","282","","source.perl","programming",""
"text","","text/troff","troff","",".pic,.chem","","","Roff","","Pic","425","","source.pic","markup",""
"text","","","","",".pkl","","","","","Pickle","284","","none","data",""
"lisp","","","","#6067af",".l","","","","picolisp,pil","PicoLisp","285","","source.lisp","programming",""
"text","","","","#fcd7de",".pig","","","","","PigLatin","286","","source.pig_latin","programming",""
"text","","","","#005390",".pike,.pmod","","","","pike","Pike","287","","source.pike","programming",""
"text","","","","",".puml,.iuml,.plantuml","","","","","PlantUML","833504686","","source.wsd","data",""
"perl","","text/x-perl","perl","",".pod","","","","perl","Pod","288","","none","prose","true"
"perl","","","","",".pod,.pod6","","","","perl6","Pod 6","155357471","","source.raku","prose","true"
"text","","","","#d80074",".pogo","","","","","PogoScript","289","","source.pogoscript","programming",""
"text","","","","",".pony","","","","","Pony","290","","source.pony","programming",""
"text","","","","#f8bd00",".por","","","","","Portugol","832391833","","source.portugol","programming",""
"text","","","","#dc3a0c",".pcss,.postcss","","","CSS","","PostCSS","262764437","","source.postcss","markup",""
"text","postscr","","","#da291c",".ps,.eps,.epsi,.pfa","","","","","PostScript","291","","source.postscript","markup",""
"text","","","","#8f0f8d",".pbt,.sra,.sru,.srw","","","","","PowerBuilder","292","","none","programming",""
"powershell","posh,pwsh","application/x-powershell","powershell","#012456",".ps1,.psd1,.psm1","","","","pwsh","PowerShell","293","","source.powershell","programming",""
"text","","","","#0c344b",".prisma","","","","","Prisma","499933428","","source.prisma","data",""
"text","","","","#0096D8",".pde","","","","","Processing","294","","source.processing","programming",""
"batchfile","","","","#3B2F63","","Procfile","","","","Procfile","305313959","","source.procfile","programming",""
"text","","","","",".pro","","","","","Proguard","716513858","","none","data",""
"prolog","","","","#74283c",".pl,.pro,.prolog,.yap","","","","swipl,yap","Prolog","295","","source.prolog","programming",""
"text","","","","#de0000",".pml","","","","","Promela","441858312","","source.promela","programming",""
"text","","","","#7fa2a7",".spin","","","","","Propeller Spin","296","","source.spin","programming",""
"protobuf","protobuf,Protocol Buffers","text/x-protobuf","protobuf","",".proto","","","","","Protocol Buffer","297","","source.proto","data",""
"text","text proto,protobuf text format","","","",".textproto,.pbt,.pbtxt","","","","","Protocol Buffer Text Format","436568854","","source.textproto","data",""
"text","","application/pgp","asciiarmor","",".asc,.pub","","","","","Public Key","298","","none","data",""
"jade","","text/x-pug","pug","#a86454",".jade,.pug","","","","","Pug","179","","text.jade","markup",""
"text","","text/x-puppet","puppet","#302B6D",".pp","Modulefile","","","","Puppet","299","","source.puppet","programming",""
"text","","","","",".pd","","","","","Pure Data","300","","none","data",""
"text","","","","#5a6986",".pb,.pbi","","","","","PureBasic","301","","none","programming",""
"haskell","","text/x-haskell","haskell","#1D222D",".purs","","","","","PureScript","302","","source.purescript","programming",""
"python","python3,rusthon","text/x-python","python","#3572A5",".py,.cgi,.fcgi,.gyp,.gypi,.lmi,.py3,.pyde,.pyi,.pyp,.pyt,.pyw,.rpy,.smk,.spec,.tac,.wsgi,.xpy",".gclient,DEPS,SConscript,SConstruct,Snakefile,wscript","","","python,python2,python3","Python","303","","source.python","programming",""
"text","pycon","","","#3572A5","","","","Python","","Python console","428","","text.python.console","programming",""
"text","","","","#3572A5",".pytb","","","Python","","Python traceback","304","","text.python.traceback","data",""
"text","qsharp","","","#fed659",".qs","","","","","Q#","697448245","","source.qsharp","programming",""
"text","","","","#44a51c",".qml,.qbs","","","","","QML","305","","source.qml","programming",""
"text","","","","",".pro,.pri","","","","qmake","QMake","306","","source.qmake","programming",""
"javascript","","text/javascript","javascript","#00b841",".qs","installscript.qs,toolchain_installscript.qs","","","","Qt Script","558193693","","source.js","programming",""
"text","","","","#882233","","m3makefile,m3overrides","","","","Quake","375265331","","source.quake","programming",""
"r","R,Rscript,splus","text/x-rsrc","r","#198CE7",".r,.rd,.rsx",".Rprofile,expr-dist","","","Rscript","R","307","","source.r","programming",""
"yaml","","text/x-yaml","yaml","#77d9fb",".raml","","","","","RAML","308","","source.yaml","markup",""
"rdoc","","","","#701516",".rdoc","","","","","RDoc","309","","text.rdoc","prose","true"
"text","","","","",".rbbas,.rbfrm,.rbmnu,.rbres,.rbtbar,.rbuistate","","","","","REALbasic","310","","source.vbnet","programming",""
"text","arexx","","","#d90e09",".rexx,.pprx,.rex","","","","regina,rexx","REXX","311","","source.rexx","programming",""
"markdown","","text/x-gfm","gfm","#198ce7",".qmd,.rmd","","","","","RMarkdown","313","","source.gfm","prose","true"
"c_cpp","rpcgen,oncrpc,xdr","","","",".x","","","","","RPC","1031374237","","source.c","programming",""
"text","ile rpg,sqlrpgle","","","#2BDE21",".rpgle,.sqlrpgle","","","","","RPGLE","609977990","","source.rpgle","programming",""
"text","specfile","text/x-rpm-spec","rpm","",".spec","","","","","RPM Spec","314","","source.rpm-spec","data",""
"text","","","","#665a4e",".rnh,.rno","","","","","RUNOFF","315","","text.runoff","markup","true"
"lisp","","","","#3c5caa",".rkt,.rktd,.rktl,.scrbl","","","","racket","Racket","316","","source.racket","programming",""
"text","ragel-rb,ragel-ruby","","","#9d5200",".rl","","","","","Ragel","317","","none","programming",""
"perl","perl6,perl-6","text/x-perl","perl","#0000fb",".6pl,.6pm,.nqp,.p6,.p6l,.p6m,.pl,.pl6,.pm,.pm6,.raku,.rakumod,.t","","","","perl6,raku,rakudo","Raku","283","","source.raku","programming",""
"text","","","","#fffaa0",".rsc","","","","","Rascal","173616037","","source.rascal","programming",""
"text","raw","","","",".raw","","","","","Raw token data","318","","none","data",""
"rust","","text/x-rustsrc","rust","#ed5051",".res","","","","ocaml","ReScript","501875647","","source.rescript","programming",""
"text","inputrc,readline","","","","",".inputrc,inputrc","","INI","","Readline Config","538732839","","source.inputrc","data",""
"rust","","text/x-rustsrc","rust","#ff5847",".re,.rei","","","","","Reason","869538413","","source.reason","programming",""
"rust","","text/x-rustsrc","rust","#ff5847",".religo","","","LigoLANG","","ReasonLIGO","319002153","","source.religo","programming",""
"text","","","","#358a5b",".reb,.r,.r2,.r3,.rebol","","","","","Rebol","319","","source.rebol","programming",""
"text","","text/x-properties","properties","#0673ba","","language-subtag-registry.txt","","","","Record Jar","865765202","","source.record-jar","data",""
"text","red/system","","","#f50000",".red,.reds","","","","","Red","320","","source.red","programming",""
"text","","","","",".cw","","","","","Redcode","321","","none","programming",""
"text","redirects","","","","","_redirects","","","","Redirect Rules","1020148948","","source.redirects","data",""
"text","regexp,regex","","","#009a00",".regexp,.regex","","","","","Regular Expression","363378884","","source.regexp","data",""
"python","renpy","","","#ff7f7f",".rpy","","","","","Ren'Py","322","","source.renpy","programming",""
"text","","","","",".rs,.rsh","","","","","RenderScript","323","","none","programming",""
"text","","","","",".rtf","","","","","Rich Text Format","51601661","","text.rtf","markup",""
"text","","","","#2D54CB",".ring","","","","","Ring","431","","source.ring","programming",""
"html","","","","#A71E49",".riot","","","","","Riot","878396783","","text.html.riot","markup",""
"text","","","","#00c0b5",".robot","","","","","RobotFramework","324","","text.robot","programming",""
"text","groff,man,manpage,man page,man-page,mdoc,nroff,troff","text/troff","troff","#ecdebe",".roff,.1,.1in,.1m,.1x,.2,.3,.3in,.3m,.3p,.3pm,.3qt,.3x,.4,.5,.6,.7,.8,.9,.l,.man,.mdoc,.me,.ms,.n,.nr,.rno,.tmac","eqnrc,mmn,mmt,troffrc,troffrc-end","","","","Roff","141","","text.roff","markup","true"
"text","","text/troff","troff","#ecdebe",".1,.1in,.1m,.1x,.2,.3,.3in,.3m,.3p,.3pm,.3qt,.3x,.4,.5,.6,.7,.8,.9,.man,.mdoc","","","Roff","","Roff Manpage","612669833","","text.roff","markup","true"
"clojure","","text/x-clojure","clojure","#cc0088",".rg","","","","","Rouge","325","","source.clojure","programming",""
"text","","","","#DE3941",".rsc","","","","RouterOS","RouterOS Script","592853203","","none","programming",""
"ruby","jruby,macruby,rake,rb,rbx","text/x-ruby","ruby","#701516",".rb,.builder,.eye,.fcgi,.gemspec,.god,.jbuilder,.mspec,.pluginspec,.podspec,.prawn,.rabl,.rake,.rbi,.rbuild,.rbw,.rbx,.ru,.ruby,.spec,.thor,.watchr",".irbrc,.pryrc,.simplecov,Appraisals,Berksfile,Brewfile,Buildfile,Capfile,Dangerfile,Deliverfile,Fastfile,Gemfile,Guardfile,Jarfile,Mavenfile,Podfile,Puppetfile,Rakefile,Snapfile,Steepfile,Thorfile,Vagrantfile,buildfile","","","ruby,macruby,rake,jruby,rbx","Ruby","326","","source.ruby","programming",""
"rust","rs","text/x-rustsrc","rust","#dea584",".rs,.rs.in","","","","","Rust","327","","source.rust","programming",""
"text","","text/x-sas","sas","#B34936",".sas","","","","","SAS","328","","source.sas","programming",""
"scss","","text/x-scss","css","#c6538c",".scss","","","","","SCSS","329","","source.css.scss","markup",""
"text","SELinux Kernel Policy Language,sepolicy","","","",".te","file_contexts,genfs_contexts,initial_sids,port_contexts,security_classes","","","","SELinux Policy","880010326","","source.sepolicy","data",""
"text","","","","",".smt2,.smt","","","","boolector,cvc4,mathsat5,opensmt,smtinterpol,smt-rat,stp,verit,yices2,z3","SMT","330","","source.smt","programming",""
"text","","application/sparql-query","sparql","#0C4597",".sparql,.rq","","","","","SPARQL","331","","source.sparql","data",""
"text","","","","#3F3F3F",".sqf,.hqf","","","","","SQF","332","","source.sqf","programming",""
